Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Amelanchier alnifolia,Aristotelia amelanchierella  Braun; Filatima frugalis  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/CQMS",8168485
Amelanchier canadensis,Pseudotelphusa amelanchierella  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/CQNY",3023833
Ammannia,Aristotelia articulata  Meyrick; Aristotelia palamota  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/TVR",3188707
Ammodendron eichwaldii,Anarsia halimodendri  Christoph,species,accepted,"https://www.catalogueoflife.org/data/taxon/66BMJ",2971157
Amorpha fruticosa,Filatima ornatifimbriella  Clemens; Sinoe robiniella  Fitch,species,accepted,"https://www.catalogueoflife.org/data/taxon/CX4J",5357407
Ampelopsis,Monochroa absconditella  Walker,genus,accepted,"https://www.catalogueoflife.org/data/taxon/629VT",3039178
Anabasis articulata,Scrobipalpa gecko  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/66H3G",5568629
Anacardium occidentale,Anarsia epotias  Meyrick; Anthistarcha binocularis  Meyrick; Dichomeris   ; Hypatima   ; Hypatima haligramma  Meyrick; Hypatima melanoplecta  Meyrick; Palumbina glaucitis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/DB6H",5421368
Ananas comosus,Stegasta bosqueella  Chambers; Taygete parvella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/66LDM",5288819
Anaphalis margaritacea,Rifseria fuscotaeniella  Chambers; Scrobipalpula psilella-group sp. A,species,accepted,"https://www.catalogueoflife.org/data/taxon/66KW2",
Andropogon,Ephysteris promptella  Staudinger; Stereomita andropogonis  Braun,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VTTT",2706077
Andropogon sorghum,Brachmia insulsa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4YC6L",4114327
Angophora,Dichomeris holomela  Lower,genus,accepted,"https://www.catalogueoflife.org/data/taxon/W6D",8255456
Anogeissus latifolia,Gelechia stenacma  Meyrick,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/66TY3",
Antennaria dioica,Scrobipalpa murinella  Duponchel,species,accepted,"https://www.catalogueoflife.org/data/taxon/66XCZ",5385604
Anthemis,Isophrictis anthemidella  Wocke,genus,accepted,"https://www.catalogueoflife.org/data/taxon/XBC",3122476
Anthemis tinctoria,Metzneria paucipunctella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/7JM9L",3102756
Anthoxanthum odoratum,Sophronia semicostella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/67GRD",2705975
Anthyllis,Aproaerema anthyllidella  Hubner,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CJVP",2952416
Anthyllis armata,Aroga aristotelis  Milli̬re,species,,,
Anthyllis montana,Scrobipalpa montanella  Chr̩tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/67K7C",5352354
Anthyllis tragacanthoides,Syncopacma acanthyllidis  Walsingham,species,synonym,"https://www.catalogueoflife.org/data/taxon/67K6N",
Antirrhinum asarina,Acompsia antirrhinella  Milli̬re,species,accepted,"https://www.catalogueoflife.org/data/taxon/H4LK",3741362
