Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Corylus avellana,Hypatima rhomboidella  Linnaeus,species,accepted,"https://www.catalogueoflife.org/data/taxon/YQ55",
Corylus heterophylla,Dichomeris consertella  Christoph; Dichomeris leptosaris  Meyrick; Dichomeris ustalella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/YQ5V",
Corylus heterophylla heterophylla,Dichomeris leptosaris  Meyrick; Dichomeris ustalella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/7LL6B",7226604
Corylus sieboldiana,Dichomeris leptosaris  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/YQ6W",
Cotoneaster,Athrips rancidella  Herrich-SchÃ¤ffer,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62NHM",3025563
Cotoneaster horizontalis,Athrips rancidella  Herrich-SchÃ¤ffer; Recurvaria nanella  Denis & Schiff.; Teleiodes vulgella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/YXYX",3025617
Cotoneaster integerrimus,Athrips medjella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/YXZM",3025576
Cotoneaster microphyllus glacialis,Athrips rancidella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/6B8Q5",3025563
Crataegus,Anacampsis karmeliella  Amsel; Dichomeris derasella  Denis & Schiff.; Filatima epulatrix  Hodges; Filatima spurcella  Duponchel; Psoricoptera gibbosella  Zeller; Recurvaria leucatella  Clerck; Recurvaria nanella  Denis & Schiff.; Teleiodes vulgella  Hubner,genus,accepted,"https://www.catalogueoflife.org/data/taxon/3VBV",3013395
Crataegus parvifolia,Recurvaria nanella  Denis & Schiff.,species,synonym,"https://www.catalogueoflife.org/data/taxon/9XL2Y",
Crotalaria,Brachyacma palpigera  Walsingham; Mesophleps epiochra  Meyrick; Mesophleps palpigera  Walsingham; Stomopteryx sphenodoxa  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/B3G4Z",2941719
Crotalaria incana,Brachyacma palpigera  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/ZNLQ",2942375
Crotalaria pallida obovata,Mesophleps epiochra  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/7LMJN",2942716
Crotalaria pumila,Syncopacma crotalariella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/ZNZK",2942415
Crotalaria retusa,Brachyacma palpigera  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/6BJD4",2942610
Crotalaria saltiana,Mesophleps palpigera  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/ZP3K",2942423
Croton californicus,Anacampsis lacteusochrella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/6BJ7C",
Croton flavens,Anacampsis cornifer  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/ZQ3R",3057734
Croton laevigatus,Dichomeris decusella  Walker,species,accepted,"https://www.catalogueoflife.org/data/taxon/ZQDG",3059370
Cucubalus baccifer,Caryocolum viscariella  Stainton,species,accepted,"https://www.catalogueoflife.org/data/taxon/9YJVD",7268155
Cullen corylifolium,,species,accepted,"https://www.catalogueoflife.org/data/taxon/32DML",
Cunninghamia lanceolata,Acanthophila bimaculata  (Liu & Qian),species,accepted,"https://www.catalogueoflife.org/data/taxon/6BRMR",5284278
Cupressus,Stenolechia bathrodyas  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/3XFC",10225588
Cupressus macrocarpa,Coleotechnites stanfordia  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/32FXC",2684070
Cyamopsis,Dichomeris acuminatus  Staudinger,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKGQ",2946176
Cyamopsis tetragonoloba,Dichomeris acuminatus  Staudinger,species,accepted,"https://www.catalogueoflife.org/data/taxon/32N69",2946183
Cydonia oblonga,Recurvaria leucatella  Clerck; Recurvaria nanella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/32ZLZ",5362215
Cynara cardunculus,Metzneria monochroa  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/6C6PZ",3112364
Cynara scolymus,Helcystogramma melantherella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/339BH",3112361
Cytisus,Anarsia spartiella  Schrank; Mirificarma mulinella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKHH",
Cytisus balansae,Mirificarma interrupta  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/33RX9",5354626
Cytisus nigricans,Mirificarma cytisella  Treitschke; Mirificarma mulinella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6C9KZ",
Cytisus scoparius,Anarsia spartiella  Schrank; Mirificarma interrupta  Haworth; Mirificarma mulinella  Zeller; Syncopacma captivella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/33S3C",
Daemonorops angustifolia,,species,,"https://www.catalogueoflife.org/data/taxon/68V6D",
Dalbergia sissoides,Dichomeris   ; Dichomeris allantopa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/33Z9L",
Dalbergia sissoo,Dichomeris crepitatrix  Meyrick; Dichomeris eridantis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/33Z9N",2968532
Dalea pinnata,Stegasta bosqueella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/33ZPW",5353205
Datura,Phthorimaea operculella  Zeller; Scrobipalpa heliopa  Lower; Scrobipalpula daturae  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/426J",2928734
Datura fastuosa,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/34B6N",2928746
Datura stramonium,Phthorimaea operculella  Zeller; Scrobipalpula absoluta  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/34B7C",
Dendrophthoe glabrescens,Anarsia sagmatica  Meyrick; Hypatima haligramma  Meyrick; Hypatima melanoplecta  Meyrick; Hypatima rhicnota  Meyrick; Stenolechia notomochla?  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/34RN7",4002432
Derris elliptica,Dichomeris ostracodes  Meyrick; Hypatima anthotypa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/34YTC",5350305
Desmodium,Dichomeris acuminatus  Staudinger; Istrianis steganotricha  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKK7",2967050
Desmodium gangeticum,Hypatima stictocosma  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/9DHYK",11440699
Desmodium gyroides,Dichomeris acuminatus  Staudinger,species,accepted,"https://www.catalogueoflife.org/data/taxon/5ZHJ2",2968947
Desmodium oojeinense,Recurvaria ochrospila  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4B8Q2",2967470
Desmodium tortuosum,Anacampsis meibomiella  Forbes,species,accepted,"https://www.catalogueoflife.org/data/taxon/353K5",2967221
Dianthus arenarius,Caryocolum schleichi  Christoph,species,accepted,"https://www.catalogueoflife.org/data/taxon/6D285",
Dianthus carthusianorum,Caryocolum leucomelanella  Zeller,species,synonym,"https://www.catalogueoflife.org/data/taxon/6CPZ3",
Dianthus deltoides,Caryocolum schleichi  Christoph,species,accepted,"https://www.catalogueoflife.org/data/taxon/6CPNG",3085424
Dianthus gratianopolitanus,Caryocolum leucomelanella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6CPPZ",6364219
Dianthus seguieri,Caryocolum leucomelanella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6D3JD",
Dianthus sylvestris,Caryocolum leucomelanella  Zeller; Caryocolum schleichi  Christoph,species,accepted,"https://www.catalogueoflife.org/data/taxon/35B5V",
Dianthus thunbergii,Caryocolum schleichi  Christoph,species,accepted,"https://www.catalogueoflife.org/data/taxon/35B6L",3807425
Dichrostachys cinerea,Anarsia,species,,"https://www.catalogueoflife.org/data/taxon/9CRKL",
Dimocarpus longan,Anarsia   ; Hypatima   ; Hypatima nr. tephroplintha  Meyrick; Hypatima sp. 2  ; Hypatima tephroplintha?  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/36798",3190008
Diospyros kaki,Dichomeris intensa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6CWZ5",3032984
Dodonaea lobulata,Ardozyga lithina  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/373PN",
Dombeya bagshawei,Mometa anthophthora  Meyrick; Platyedra sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/378SD",5546017
Dombeya emarginata,Mometa anthophthora  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/378SD",7683488
Dorycnium hirsutum,Anacampsis hirsutella  Constant,species,accepted,"https://www.catalogueoflife.org/data/taxon/3W83Q",2959124
Dorycnium pentaphyllum,Chionodes lugubrella  Fabricius; Filatima textorella  ChrÃ©tien,species,synonym,"https://www.catalogueoflife.org/data/taxon/6DHGZ",
Dryobalanops aromatica,Hypatima tricosma  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/37V4J",3189690
Duabanga moluccana,Anarsia   ; Dichomeris   ; Telphusa,species,accepted,"https://www.catalogueoflife.org/data/taxon/37YR7",3989316
Duchesnea chrysantha,Dichomeris hoplocrates  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4M69Z",3031928
Durio,Idiophantis chiridota  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/632WN",3152229
Durio zibethinus,Telphusa,species,accepted,"https://www.catalogueoflife.org/data/taxon/383W8",3152230
Echinops spinosus,Scrobipalpa ochraceella  ChrÃ©tien,species,synonym,"https://www.catalogueoflife.org/data/taxon/7VJTQ",
Echiochilon fruticosum,Apatetris echiochilonella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/38LMG",4060436
Echium,Stomopteryx isoscelixantha  Lower,genus,accepted,"https://www.catalogueoflife.org/data/taxon/49PN",2925888
Elaeagnus,Anarsia eleagnella  Kuznetsov,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62QQB",3039266
Elaeagnus pungens,Anarsia protensa  Park,species,accepted,"https://www.catalogueoflife.org/data/taxon/8V7ZR",3039270
Elaeagnus umbellata,Anarsia bipinnata  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/8V7ZS",3039267
Elaeis guineensis,Syrmadaula automorpha?  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/38XFZ",2731882
Eleocharis palustris,Monochroa lucidella  Stephens,species,accepted,"https://www.catalogueoflife.org/data/taxon/397JT",
Elymus hystrix hystrix,Helcystogramma hystricella  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/39DVH",6430988
Elymus pycnanthus,Psamathocrita argentella  Pierce & Metc.,species,synonym,"https://www.catalogueoflife.org/data/taxon/6F724",
Empetrum,Prolita sexpunctella  Fabricius,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4BBC",2888367
Epigaea,Aroga trialbamaculella  Chambers,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4D42",2882804
Epigaea repens,Aroga trialbamaculella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/6FTGV",2882805
Epilobium,Dichomeris washingtoniella  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4D6C",3189067
Erica,Neofaculta ericetella  Geyer; Xenolechia aethiops  Humphreys & Wstw,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4DYS",2882780
Erica cinerea,Neofaculta ericetella  Geyer; Xenolechia aethiops  Humphreys & Wstw,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GKMF",5333411
Ericameria ericoides,Aristotelia argentifera  Busck; Gnorimoschema ericameriae  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GMVK",3103001
Ericameria linearifolia,Prolita variabilis  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GMVD",
Ericameria nauseosa,Gnorimoschema octomaculella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GMVF",
Ericameria pinifolia,Gnorimoschema coquillettella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GMX7",3102975
Erigeron,Dichomeris stipendiaria  Braun,genus,accepted,"https://www.catalogueoflife.org/data/taxon/633LL",3146588
Erigeron speciosus,Scrobipalpula erigeronella  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/6GPVP",3147146
Eriobotrya japonica,Dichomeris ochthophora  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4S4GG",3024146
Eriogonum compositum,Aroga eriogonella  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4LG",2889605
Eriogonum elongatum,Chionodes dammersi  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4N6",2889552
Eriogonum heracleoides,Aroga eriogonella  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4Q8",2889524
Eriogonum inflatum,Chionodes dammersi  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4QP",2889664
Eriogonum latifolium,Aroga sp. A  ; Aroga sp. B  ; Chionodes dammersi  Keifer; Chionodes sp. B,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4RC",2889500
Eriogonum niveum,Chionodes luteogeminata  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B4SW",2889469
Eriophyes - delete,,genus,,,
Erophaca baetica,Mirificarma denotata  Pitkin,species,accepted,"https://www.catalogueoflife.org/data/taxon/3B986",2954221
Eryngium aquaticum,Coleotechnites eryngiella  Bottimer,species,,"https://www.catalogueoflife.org/data/taxon/6H4BZ",
Erysimum cheiri,Mesophleps trinotella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/3BBH8",3048203
Erythroxylum deciduum,Dichomeris sp. 2  ; Dichomeris sp. 3  ; Dichomeris sp. 4  ; Dichomeris sp. 8,species,accepted,"https://www.catalogueoflife.org/data/taxon/3BFTM",7284845
Erythroxylum suberosum,Dichomeris sp. 1,species,accepted,"https://www.catalogueoflife.org/data/taxon/3BG4C",7284843
Erythroxylum tortuosum,Dichomeris sp. 1  ; Dichomeris sp. 2  ; Dichomeris sp. 3,species,accepted,"https://www.catalogueoflife.org/data/taxon/3BG4T",3693946
Eucalyptus,Ardozyga albifrons  Turner; Ardozyga amblopis  Meyrick; Ardozyga blacica  Turner; Ardozyga mesachra  Lower; Ardozyga mesochra  Lower; Ardozyga odorifera  Meyrick; Dichomeris holomela  Lower; Dichomeris lygropa  Lower,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4F2P",7493935
Eucalyptus maculata,Ardozyga nyctias  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/3BQ6Q",
Eucalyptus paniculata,Ardozyga mesochra  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/6H6D5",3177273
Eugenia,Idiophantis   ; Idiophantis chiridota  Meyrick; Idiophantis eugeniae  Bradley; Idiophantis nr. eugeniae  Bradley,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4FLM",3177662
Eugenia aquea,Anarsia patulella?  Walker,species,accepted,"https://www.catalogueoflife.org/data/taxon/7BBL3",5419094
Eugenia cumini,Helcystogramma   ; Idiophantis acanthopa  Meyrick; Idiophantis discura  Meyrick; Phthorimaea operculella  Zeller,species,synonym,"https://www.catalogueoflife.org/data/taxon/6GWNW",
Eugenia densiflora,Hypatima scopulosa  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/BT2FQ",
Eugenia jambos,Idiophantis chiridota  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/5468B",7640192
Eugenia malaccensis,Idiophantis chiridota  Meyrick,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/3C5CF",
Eugenia polyantha,Idiophantis discura  Meyrick,species,synonym,"https://www.catalogueoflife.org/data/taxon/3C5WS",
Eupatorium,Dichomeris setosella  Clemens; Dichomeris washingtoniella  Busck; Gnorimoschema washingtoniella  Busck; Helcystogramma nr. musicopa  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4G7R",3142374
Eupatorium capillifolium,Dichomeris aglaia  Hodges,species,accepted,"https://www.catalogueoflife.org/data/taxon/3CJKL",5403126
Eupatorium odoratum,Dichomeris delotella  Busck,species,synonym,"https://www.catalogueoflife.org/data/taxon/3CKFB",
Eupatorium villosum,Aristotelia eupatoriella  Busck,species,,"https://www.catalogueoflife.org/data/taxon/3CL5C",
Euphorbia neriifolia,Telphusa melanozona  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3CPXB",3064865
Euphorbia nivulia,Telphusa melanozona  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3CPXV",
Fagonia,Phloeocecis cherregella  ChrÃ©tien,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4J82",3189921
Fagonia glutinosa,Athrips fagoniae  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/3DS5W",6384835
Fagonia sinaica,Athrips fagoniae  Walsingham; Phloeocecis cherregella  ChrÃ©tien,species,,"https://www.catalogueoflife.org/data/taxon/3DS7J",
Fagus,Dichomeris ustalella  Fabricius; Trypanisma prudens  Clemens,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VXN4",2874875
Fagus sylvatica,Dichomeris ustalella  Fabricius,species,accepted,"https://www.catalogueoflife.org/data/taxon/3DSK5",2882316
Ficus benghalensis,Meteoristis religiosa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6HVXS",5361919
Ficus religiosa,Meteoristis religiosa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6HXXW",5361935
Filipendula vulgaris,Monochroa lutulentella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6J2MP",
Flueggea virosa,Deltophora peltosema  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JB9K",5382823
Fragaria,Anacampsis fragariella  Busck; Anarsia lineatella  Zeller; Monochroa absconditella  Walker; Monochroa fragariae  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4KYG",3029779
Frangula alnus,Aristotelia pancaliella  Staudinger,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JLFV",3039454
Frangula californica californica,Aristotelia rhamnina  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/5HDCQ",7095707
Frankenia hirsuta,Ornativalva heluanensis  Debski,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JKZB",8139414
Frankenia pulverulenta,Aristotelia frankeniae  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JKZJ",
Frankenia salina,Scrobipalpa monumentella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JKP2",2874688
Fumana thymifolia,Athrips thymifoliella  Constant,species,accepted,"https://www.catalogueoflife.org/data/taxon/6JRM5",7365597
Garcinia mangostana,Glycerophthora clavicularis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3F9Z4",3189571
Gaya lyallii,Anisoplaca achyrota  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/3FFRZ",
Genista,Anarsia spartiella  Schrank; Aristotelia subericinella  Duponchel; Chionodes distinctella  Zeller; Mirificarma cytisella  Treitschke; Prolita solutella  Zeller; Syncopacma cinctella  Clerck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKVF",2940025
Genista anglica,Mirificarma lentiginosella  Zeller; Syncopacma albipalpella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FL7S",5347644
Genista canariensis,Syncopacma genistae  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FL8G",5347769
Genista germanica,Mirificarma interrupta  Haworth; Mirificarma lentiginosella  Zeller; Mirificarma mulinella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FL9S",5347824
Genista pilosa,Mirificarma interrupta  Haworth; Prolita solutella  Zeller; Syncopacma suecicella  Wolff,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FLBZ",5347571
Genista sagittalis,Mirificarma interrupta  Haworth; Mirificarma lentiginosella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FLCT",
Genista tinctoria,Anarsia spartiella  Schrank; Mirificarma interrupta  Haworth; Mirificarma lentiginosella  Zeller; Mirificarma mulinella  Zeller; Prolita solutella  Zeller; Syncopacma vinella  Bankes,species,accepted,"https://www.catalogueoflife.org/data/taxon/3FLDY",5347612
Glaux maritima,Monochroa tetragonella  Stainton,species,,"https://www.catalogueoflife.org/data/taxon/6KH36",
Gleditsia,Agnippe biscolorella  Chambers; Theisoa pallidochrella  Chambers,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKW3",2959442
Glochidion,Aristotelia galeotis  Meyrick; Hypatima anthotypa  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VXWH",3080069
Glycine,Mesophleps palpigera  Walsingham; Stomopteryx simplexella  Walker,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CKWK",
Glycine max,Anarsia ephippias  Meyrick; Anarsia nigricana  Park; Aproaerema anthyllidella  Hubner; Aproaerema modicella  Deventer; Bilobata subsecivella  Zeller; Dichomeris acuminatus  Staudinger; Mesophleps palpigera  Walsingham; Stomopteryx simplexella  Walker,species,accepted,"https://www.catalogueoflife.org/data/taxon/3GF5W",
Glycine soja,Aproaerema modicella  Deventer,species,,"https://www.catalogueoflife.org/data/taxon/3GF7Q",
Glycyrrhiza lepidota,Filatima glycyrhizaeella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/3GFR8",2965778
Gnaphalium,Rifseria fuscotaeniella  Chambers; Scrobipalpula psilella-group sp. A  ; Sophronia chilonella  Treitschke,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4PJ3",5390705
Gnaphalium obtusifolium obtusifolium,Chionodes fondella  Busck,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/4NXF4",
Gossypium,Harpagidia magnetella  Staudinger; Holophysis stagmatophoria  Walsingham; Keiferia lycopersicella  Walsingham; Mometa cunctatrix  Meyrick; Mometa erebodoxa  Meyrick; Mometa zemiodes  Durrant; Pectinophora gossypiella  Saunders; Pectinophora scutigera  Holdaway; Pectinophora spp.  ; Pexicopia malvella  Hubner; Platyedra   ; Platyedra sp.  ; Platyedra subcinerea  Haworth,genus,accepted,"https://www.catalogueoflife.org/data/taxon/4QG7",3152652
Gossypium arboreum,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/9XSBD",3152663
Gossypium barbadense,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/6KS3B",3152666
Gossypium herbaceum,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/3H4C4",3152658
Gossypium hirsutum,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/3H4C5",3152661
Gossypium thurberi,Pectinophora gossypiella  Saunders; Platyedra subcinerea  Haworth; Scodes deflecta  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/3H4F3",3152653
Gossypium tomentosum,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/3H4F5",3152655
Gouldia,Merimnetria mendax  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/7P4DJ",6367819
Gouldia coriacea,Merimnetria homoxyla  Meyrick; Merimnetria multiformis  Meyrick; Merimnetria xylospila  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/3H4TC",
Gouldia macrocarpa,Merimnetria elegantior  Walsingham; Merimnetria ichthyochroa  Walsingham; Merimnetria nigriciliella  Walsingham,species,,"https://www.catalogueoflife.org/data/taxon/6L3T2",
Gouldia terminalis var. macrocarpa,,species,,"https://www.catalogueoflife.org/data/taxon/3QXXJ",
Grevillea speciosa,Thiotricha parthenica  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3HCYZ",10516177
Guapira obtusata,Nealyda kinzelella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/3HJ6M",3086066
Guiera senegalensis,Anarsia guiera  Bradley,species,accepted,"https://www.catalogueoflife.org/data/taxon/3HKQQ",3699789
Gypsophila fastigiata,Caryocolum petryi  Hofmann,species,accepted,"https://www.catalogueoflife.org/data/taxon/3HXV2",
Gypsophila repens,Caryocolum oculatella  Thomann; Caryocolum petryi  Hofmann; Caryocolum repentella  ChrÃ©tien; Tila capsophilella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/3HXZH",5384464
Halimione,Scrobipalpa instabilella  Douglas,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8RZL6",7830407
Halogeton glomeratus,Scrobipalpa mongoloides  Povolny,species,accepted,"https://www.catalogueoflife.org/data/taxon/3JFBH",3083621
Halothamnus glaucus,,species,,"https://www.catalogueoflife.org/data/taxon/3JG9B",
Hedyotis,Merimnetria flaviterminella  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VY52",9631866
Hedyotis acuminata,Merimnetria compsodelta  Meyrick; Merimnetria thurifica  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/3JZWX",
Hedyotis terminalis,Merimnetria elegantior  Walsingham; Merimnetria homoxyla  Meyrick; Merimnetria multiformis  Meyrick; Merimnetria xylospila  Meyrick,species,synonym,"https://www.catalogueoflife.org/data/taxon/6LGLL",
Helianthemum,Anacampsis scintillella  Fischer v. RÃ¶sl.; Mesophleps corsicella  Herrich-SchÃ¤ffer; Teleiodes sequax  Haworth,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62TKD",2874068
Helianthemum canum,Teleiodes sequax  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K5BP",
Helianthemum lavandulifolium,Dichomeris helianthemi  Walsingham,species,synonym,"https://www.catalogueoflife.org/data/taxon/9XZFH",
Helianthemum nummularium,Mesophleps silacella  Hubner; Teleiodes sequax  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/6LHN7",8890062
Helianthus,Dichomeris aleatrix  Hodges; Dichomeris flavocostella  Clemens; Isophrictis similiella  Chambers; Scrobipalpula artemisiella  Kearfott,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62TKF",3119134
Helianthus annuus,Isophrictis similiella  Chambers; Scrobipalpula artemisiella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K5TS",9206251
Helianthus giganteus,Gnorimoschema ambrosiaeella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K5WC",3119240
Helianthus grosseserratus,Dichomeris leuconotella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K5WN",3119189
Helianthus hirsutus,Dichomeris aleatrix  Hodges; Dichomeris inserrata  Walsingham; Dichomeris vindex  Hodges,species,accepted,"https://www.catalogueoflife.org/data/taxon/6LHPJ",
Helianthus pauciflorus pauciflorus,Dichomeris aleatrix  Hodges,species,accepted,"https://www.catalogueoflife.org/data/taxon/5HM59",7223475
Helianthus tuberosus,Dichomeris juncidella  Clemens,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K63N",3119175
Helichrysum,Ptocheuusa inopella  Zeller; Scrobipalpula psilella  Herrich-SchÃ¤ffer,genus,accepted,"https://www.catalogueoflife.org/data/taxon/635KQ",3131108
Helicteres isora,Dichomeris barymochla  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3K9MW",5546922
Heliotropium,Stomopteryx isoscelixantha  Lower,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62VCK",2925766
