Genus,Subfamily,Status,Type species,Reference,Link to the reference,Gbif node
"Anisoplaca Meyrick, 1885","Anomologinae Meyrick, 1926",This name is accepted,"Anisoplaca ptyoptera Meyrick, 1885","N.Z. Jl Sci. Dunedin, 2, 590. 1886: 162 [key], 171.",,
"Anomologa Meyrick, 1926","Anomologinae Meyrick, 1926",This name is accepted,"Anomologa dispulsa Meyrick, 1926","Exotic Microlepidoptera, 3, 308.",,
"Anomoxena Meyrick, 1917",Unassigned,This name is accepted,"Anomoxena spinigera Meyrick, 1917","Transactions of the Entomological Society of London, 1917, 28.",,
"Anterethista Meyrick, 1914",Unassigned,"This name is a synonym of Beltheca Busck, 1914","Beltheca picolella Busck, 1914",Proceedings of the United States National Museum 47: 4.,,
"Anthinora Meyrick, 1914",Unassigned,This name is provisionally accepted,Anthinora xanthophanes Meyrick,Transactions of the Royal Entomological Society of London. 1914: 10217,,
"Anthistarcha Meyrick, 1925","Anacampsinae Bruand, 1850",This name is accepted,"Gelechia geniatella Busck, 1914","Genera Insectorum, 184, 18 [key], 67",,
"Antithyra Meyrick, 1906",Unassigned,This name is provisionally accepted,,Journal of the Bombay Natural History Society. 17: 5541,,
"Apatetris Staudinger, 1879","Apatetrinae Meyrick, 1947",This name is accepted,"Apatetris mirabella Staudinger, 1879","Horae Societatis Entomologicae Rossicae, 15, 316",,
"Aphanostola Meyrick, 1931","Gelechiinae Stainton, 1854",This name is accepted,"Aphanostola atripalpis Meyrick, 1931","Exotic Microlepidoptera, 4, 56",,
"Aphnogenes Meyrick, 1921","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hubner, 1818","Dichomeris ligulella Hübner, 1818","Zuträge Samml. Exot. Schmett., 1, 25",,
"Apocritica Meyrick, 1911",Unassigned,This name is accepted,"Chaliniastis chromatica Meyrick, 1911","Genera Insectorum, 184, 7 [key], 64",,
"Apodia Heinemann, 1870","Anomologinae Meyrick, 1926",This name is accepted,"Lita bifractella Duponchel in Godart & Duponchel, [1843] 1842",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 286,,
"Aponoea Walsingham, 1905","Gelechiinae Stainton, 1854","This name is a synonym of Holcophora Staudinger, 1871",,"Annales De La Société Entomologique De France, 84, 330",,
"Apopira Walsingham, 1911",Unassigned,"This name is a synonym of Commatica Meyrick, 1909","Gelechia falcatella Walker, 1864","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 73",,
"Apotactis Meyrick, 1918","Anacampsinae Bruand, 1850",This name is accepted,"Apotactis drimylota Meyrick, 1918","Annals of the Transvaal Museum, 6, 52",,
"Apothetoeca Meyrick, 1922",Unassigned,This name is accepted,"Apothetoeca synaphrista Meyrick, 1922","In Aurivillius, Prout & Meyrick Nat. Hist. Juan Fernandez & Easter Is. 3: 268",,
"Apotistatus Walsingham, 1904",Unassigned,This name is accepted,"Apotistatus leucostictus Walsingham, 1904","Entomologist's Monthly Magazine 40: 271. (September), Entomologist's Monthly Magazine 40: 216",,
"Aproaerema Durrant, 1897","Anacampsinae Bruand, 1850",This name is accepted,"Tinea anthyllidella Hübner, [1813]","Entomologist’s Monthly Magazine, 33, 221",,
"Araeophalla Janse, 1960","Gelechiinae Stainton, 1854",This name is accepted,"Araeophalla barbertonensis Janse, 1960","The Moths of South Africa, 6, 205",,
"Araeophylla Janse, 1954",Unassigned,This name is provisionally accepted,,The moths of South Africa. 5: 9562,,
"Araeovalva Janse, 1960","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia albiflora Meyrick, 1920","The Moths of South Africa, 6, 208",,
"Arcutelphusa Lee & Brown, 2008","Gelechiinae Stainton, 1854",This name is accepted,"Arcutelphusa talladega Lee & Brown, 2008","Zootaxa, 1818, 10 [key], 33",,
"Aregha Chrétien, 1915",Unassigned,This name is accepted,"Aregha abhaustella Chrétien, 1915","Annales De La Société Entomologique De France, 84, 333",,
"Argolamprotes Benander, 1945","Anomologinae Meyrick, 1926",This name is accepted,"Tinea micella [Denis & Schiffermüller], 1775","Entomologisk Tidskrift, 66, 126, 128 [key], 135",,
"Argophara Janse, 1963","Dichomeridinae Hampson, 1918",This name is accepted,"Argophara epaxia Janse, 1963","The Moths of South Africa, 6, 247, 268 [key]",,
"Argyrolacia Keifer, 1936","Gelechiinae Stainton, 1854",This name is accepted,"Argyrolacia bifida Keifer, 1936","Bull. Dep. Agric. Calif., 25, 243",,
"Aristotelia Hübner, [1825]","Anomologinae Meyrick, 1926",This name is accepted,"Tinea decurtella Hübner, [1813]",Verz. bekannter Schmett.: 424,,
"Aristoteliodes Zimmerman, 1978","Anomologinae Meyrick, 1926","This name is a synonym of Merimnetria Walsingham, 1907",,,,
"Arla Clarke, 1942","Gelechiinae Stainton, 1854",This name is accepted,"Arla tenuicornis Clarke, 1942","Proceedings of the United States National Museum, 92, 269",,
"Aroga Busck, 1914","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia paraplutella Busck, 1910","Proceedings of the United States National Museum, 47, 13",,
"Arogalea Walsingham, 1911","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia cristifasciella Chambers, 1878","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 48",,
"Arotria Meyrick, 1904","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Arotromima Meyrick, 1929","Anacampsinae Bruand, 1850","This name is a synonym of Promolopica Meyrick, 1925",,,,
"Asapharcha Meyrick, 1920","Apatetrinae Meyrick, 1947",This name is accepted,"Asapharcha strigifera Meyrick, 1920","Annals of the South African Museum, 17, 292",,
"Aspades Vari, 1986","Apatetrinae Meyrick, 1947",This name is accepted,"Gelechia hutchinsonella Walsingham, 1891","In Vári & Kroon, Southern African Lepid.: ix",,
"Aspasiodes Janse, 1958","Anomologinae Meyrick, 1926","This name is a synonym of Aspades Vári, 1986",,,,
"Atasthalistis Meyrick, 1886","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Athrips Billberg, 1820","Gelechiinae Stainton, 1854",This name is accepted,"Phalaena mouffetella Linnaeus, 1758",Enumeration Insect. Mus. G. J. Billberg: 93,,
"Atremaea Staudinger, 1871","Anomologinae Meyrick, 1926",This name is accepted,"Atremaea lonchoptera Staudinger, 1871","Berliner Entomologische Zeitschrift, 14, 317",,
"Aulidiotis Meyrick, 1925",Unassigned,This name is accepted,"Ceratophora phoxopterella Snellen, 1903","Genera Insectorum, 184, 6 [key], 182",,
"Australiopalpa Povolný, 1974","Gelechiinae Stainton, 1854",This name is accepted,"Australiopalpa commoni Povolný, 1974","Acta Ent. Bohemoslovaca, 71, 42 [unavailable], 144",,
"Australiopalpula Povolný & Šustek, 1988","Gelechiinae Stainton, 1854","This name is a synonym of Australiopalpa Povolný, 1974",,,,
"Autodectis Meyrick, 1937","Apatetrinae Meyrick, 1947",This name is accepted,"Autodectis atelarga Meyrick, 1937","Exotic Microlepidoptera, 5, 90",,
"Axyrostola Meyrick, 1923","Anacampsinae Bruand, 1850",This name is accepted,"Axyrostola acherusia Meyrick, 1923","Exotic Microlepidoptera, 3, 29",,
"Bactrolopha Lower, 1901","Anomologinae Meyrick, 1926","This name is a synonym of Dorycnopa Lower, 1901",,,,
"Bactropaltis Meyrick, 1939",Unassigned,This name is accepted,"Bactropaltis lithosema Meyrick, 1939","Trans. R. Ent. Soc. Lond., 89, 56",,
"Bagdadia Amsel, 1949","Anacampsinae Bruand, 1850",This name is accepted,"Bagdadia irakella Amsel, 1949","Bull. Soc. Fouad I. Ent., 33, 321",,
"Barticeja Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Phthorimaea epitricha Meyrick, 1917","Acta Ent. Mus. Natn. Pragae, 37, 104",,
"Baryzancla Turner, 1933",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Batenia Chrétien, 1908",Unassigned,This name is accepted,"Batenia fasciella Chrétien, 1908","Bulletin De La Société Entomologique De France, 1908, 57",,
"Battaristis Meyrick, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Battaristis ichnota Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 245",,
"Belovalva Janse, 1963","Gelechiinae Stainton, 1854",This name is accepted,"Belovalva nigripuncta Janse, 1963","Moths S.Afr. 6 (3): 252, 280 [key]",,
"Beltheca Busck, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Beltheca picolella Busck, 1914",Proceedings of the United States National Museum 47: 4,,
"Besciva Busck, 1914","Dichomeridinae Hampson, 1918",This name is accepted,"Besciva longitudinella Busck, 1914","Proceedings of the United States National Museum, 47, 5",,
"Biloba Janse, 1954","Anacampsinae Bruand, 1850","This name is a synonym of Bilobata Vári, 1986",,,,
"Bilobata Vari, 1986","Anacampsinae Bruand, 1850",This name is accepted,"Gelechia subsecivella Zeller, 1852","In Vári & Kroon, Southern African Lepid.: ix",,
"Blastovalva Janse, 1960","Thiotrichinae Meyrick, 1886","This name is a synonym of Thiotricha Meyrick, 1886","Thistricha thorybodes Meyrick, 1885","Transactions and Proceedings of the New Zealand Institute, 18, 162 [key], 164",,
"Brachmia Hübner, [1825]","Dichomeridinae Hampson, 1918",This name is accepted,"Tinea dimidiella [Denis & Schiffermüller], 1775",Verz. bekannter Schmett.: 419,,
"Brachyacma Meyrick, 1886","Anacampsinae Bruand, 1850","This name is a synonym of Mesophleps Hübner, [1825]",,,,
"Brachypsaltis Meyrick, 1931","Gelechiinae Stainton, 1854","This name is a synonym of Tecia Kieffer & Jörgensen, 1910",,,,
"Brachyzancla Turner, 1947",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Bruchiana Jörgensen, 1916","Dichomeridinae Hampson, 1918",This name is accepted,"Bruchiana cassiaella Jörgensen, 1916","Physis, B. Aires 2: 363",,
"Bryotropha Heinemann, 1870","Anomologinae Meyrick, 1926",This name is accepted,"Tinea terrella [Denis & Schiffermüller], 1775",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 233,,
"Bucolarcha Meyrick, 1929","Anacampsinae Bruand, 1850","This name is a synonym of Mesophleps Hübner, [1825]",,,,
"Calamotypa Meyrick, 1926","Anomologinae Meyrick, 1926","This name is a synonym of Atremaea Staudinger, 1871",,,,
"Calliphylla Janse, 1963",Unassigned,This name is accepted,"Calliphylla retusa Janse, 1963","The Moths of South Africa, 6, 243, 265 [key]",,
"Calliprora Meyrick, 1914","Thiotrichinae Meyrick, 1886",This name is accepted,"Calliprora pentagramma Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 242",,
"Calyptrotis Meyrick, 1891","Apatetrinae Meyrick, 1947","This name is a synonym of Metanarsia Staudinger, 1871",,,,
"Canthonistis Meyrick, 1922","Gelechiinae Stainton, 1854",This name is provisionally accepted,,Zoologische Mededeelingen. 7: 11078,,
"Capidentalia Park, 1995","Anacampsinae Bruand, 1850","This name is a synonym of Bagdadia Amsel, 1949",,,,
"Capnosema Janse, 1958","Gelechiinae Stainton, 1854","This name is a synonym of Schizovalva Janse, 1951",,,,
"Carbatina Meyrick, 1913","Dichomeridinae Hampson, 1918","This name is a 	synonym of Dichomeris Hübner, 1818",,,,
"Carpatolechia Capuse, 1964","Gelechiinae Stainton, 1854",This name is accepted,"Carpatolechia dumitrescui Căpuşe, 1964","Entomologisk Tidskrift, 85, 12",,
"Carterica Meyrick, 1925","Gelechiinae Stainton, 1854","This name is a synonym of Cartericella Fletcher, 1940",,,,
"Cartericella Fletcher, 1940","Gelechiinae Stainton, 1854",This name is provisionally accepted,,Entomologist's Record and Journal of Variation. 52: 4291,,
"Caryocolum Gregor & Povolný, 1954","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia leucomelanella Zeller, 1839","Zool. Ent. Listy, 3, 87",,
"Catalexis Walsingham, 1909",Unassigned,This name is accepted,"Catalexis tapinota Walsingham, 1909","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 19",,
"Catameces Turner, 1919",Unassigned,This name is accepted,"Catameces thiophara Turner, 1919","Proceedings of the Royal Society of Queensland, 31, 122",,
"Catatinagma Rebel, 1903",Unassigned,This name is accepted,"Catatinagma trivittellum Rebel, 1903",Verh. zool.-bot. Ges. Wien 53: 94,,
"Catelaphris Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Caulastrocecis Chrétien, 1931","Anomologinae Meyrick, 1926","This name is a synonym of Ptycerata Ely, 1910",,,,
"Cauloecista Dumont, 1928","Anomologinae Meyrick, 1926","This name is a synonym of Megacraspedus Zeller, 1839",,,,
"Cecidonostola Amsel, 1958","Anomologinae Meyrick, 1926","This name is a 	synonym of Parapodia Joannis, 1912",,,,
"Cecidophaga Walsingham, 911",Unassigned,This name is accepted,"Cecidophaga tamaricicola Walsingham, 1911","Entomologist’s Monthly Magazine, 47, 189",,
"Cerofrontia Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Cerofrontia griseotincta Janse, 1951","The Moths of South Africa, 5, 227 [key], 230",,
"Cerycangela Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Chaetopogon Rye, 1881","Gelechiinae Stainton, 1854","This name is a synonym of Pogochaetia Staudinger, 1879",,,,
"Chalcomima Meyrick, 1929","Anacampsinae Bruand, 1850",This name is accepted,"Chalcomima hoplodoxa Meyrick, 1929","Exotic Microlepidoptera, 3, 507",,
"Chaliniastis Meyrick, 1904",Unassigned,This name is accepted,"Chaliniastis astrapaea Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 258 [key], 301",,
"Charistica Meyrick, 1925","Dichomeridinae Hampson, 1918",This name is accepted,"Zalithia rhodopetala Meyrick, 1922","Genera Insectorum, 184, 9 [key], 17 [key], 133",,
"Chelaria Haworth, 1828","Anacampsinae Bruand, 1850","This name is a synonym of Hypatima Hübner, [1825]","Tinea conscriptella Hübner, [1805]",Verz. bekannter Schmett.: 415,,
"Chelophoba Meyrick, 1935","Anacampsinae Bruand, 1850","This name is a 	synonym of Encolapta Meyrick, 1913",,,,
"Chilopselaphus Mann, 1867","Anomologinae Meyrick, 1926","This name is a synonym of Megacraspedus Zeller, 1839",,,,
"Chionodes Hübner, [1825]","Gelechiinae Stainton, 1854",This name is accepted,"Tinea luctificella Hübner, [1813]",Verz. bekannter Schmett.: 420,,
"Chorivalva Omelko, 1988","Gelechiinae Stainton, 1854",This name is accepted,"Chorivalva unisaccula M.M. Omelko, 1988","Entomologicheskoe Obozrenie, 67, 143",,
"Chretienella Turati, 1919",Unassigned,This name is provisionally accepted,,Naturalista Siciliano. 23: 6927,,
"Chretienia Spuler, 1910","Anacampsinae Bruand, 1850","This name is a synonym of Mesophleps Hübner, [1825]","Tinea silacella Hübner, 1796",Verz. bekannter Schmett.: 406,,
"Chlorolychnis Meyrick, 1925",Unassigned,This name is provisionally accepted,,Genera insectorum. 184: 4766,,
"Chrysoesthia Hübner, 1825","Apatetrinae Meyrick, 1947",This name is accepted,"Tinea zinckenella Hübner, [1813]",Verz. bekannter Schmett.: 422,,
"Chthonogenes Meyrick, 1938","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Clepsimacha Meyrick, 1934","Anacampsinae Bruand, 1850",This name is accepted,"Clepsimacha eriocrossa Meyrick, 1934","Exotic Microlepidoptera, 4, 450",,
"Clepsimorpha Janse, 1960","Anomologinae Meyrick, 1926",This name is accepted,"Clepsimorpha inconspicua Janse, 1960","The Moths of South Africa, 6, 190",,
"Clistothyris Zeller, 1877","Gelechiinae Stainton, 1854",This name is accepted,"Clistothyris villosula Zeller, 1877","Horae Societatis Entomologicae Rossicae, 13, 330",,
"Cnaphostola Meyrick, 1918","Thiotrichinae Meyrick, 1886","This name is a synonym of Thiotricha Meyrick, 1886",,,,
"Cochlevalva Omelko, 1986",Unassigned,This name is accepted,,,,
"Coconympha Meyrick, 1931",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 4: 4515,,
"Coleostoma Meyrick, 1922","Anacampsinae Bruand, 1850",This name is accepted,"Coleostoma entryphopa Meyrick, 1922","Transactions of the Entomological Society of London, 1922, 99",,
"Coleotechnites Chambers, 1880","Gelechiinae Stainton, 1854",This name is accepted,"Coleotechnites citriella Chambers, 1880",Report on insects injurious to sugar cane. (In: United States Department of Agriculture. Special Report. No. 35) (Rep. U.S. Dep. Agric.) 1879: 206,,
"Colonanthes Meyrick, 1923","Gelechiinae Stainton, 1854",This name is accepted,"Colonanthes plectanopa Meyrick, 1923","Exotic Microlepidoptera, 3, 12",,
"Coloptilia Fletcher, 1940",Unassigned,"This name is a synonym of Catatinagma Rebel, 1903",,,,
"Commatica Meyrick, 1909",Unassigned,This name is accepted,"Commatica eremna Meyrick, 1909","Transactions of the Entomological Society of London, 1909, 18",,
"Compsolechia Meyrick, 1918","Anacampsinae Bruand, 1850",This name is accepted,"Anacampsis diortha Meyrick, 1914","Exotic Microlepidoptera, 2, 137",,
"Compsosaris Meyrick, 1914","Gelechiinae Stainton, 1854",This name is accepted,"Compsosaris testacea Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 233",,
"Concubina Omelko, 2004","Gelechiinae Stainton, 1854",This name is accepted,"Concubina subita N.V. Omelko & M.M. Omelko, 2004","Biol. Issled. Gornot. Stants., 9, 193",,
"Coniogyra Meyrick, 1921",Unassigned,This name is accepted,"Coniogyra dilucescens Meyrick, 1921","Annals of the Transvaal Museum, 8, 66",,
"Copocercia Zeller, 1877","Thiotrichinae Meyrick, 1886","This name is a synonym of Polyhymno Chambers, 1874",,,,
"Copticostola Meyrick, 1929",Unassigned,This name is accepted,"Untomia acuminata Walsingham, 1911","Transactions of the Entomological Society of London, 76, 508",,
"Corynaea Turner, 1919",Unassigned,This name is accepted,"Corynaea dilechria Turner, 1919","Proceedings of the Royal Society of Queensland, 31, 129",,
"Cosmardia Povolný, 1965","Gelechiinae Stainton, 1854",This name is accepted,"Tinea morizella Geyer, [1836]","Acta Ent. Bohemoslovaca, 62, 484",,
"Cotyloscia Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Coudia Chrétine, 1915",Unassigned,This name is accepted,"Coudia strictella Chrétien, 1915","Annales De La Société Entomologique De France, 84, 326",,
"Coydalla Walker, 1864",Unassigned,This name is accepted,"Coydalla interguttella Walker, 1864","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum, 30, 1037",,
"Crambodoxa Meyrick, 1913",Unassigned,This name is provisionally accepted,,Transactions of the Royal Entomological Society of London. 1913: 10216,,
"Crasimorpha Meyrick, 1923","Anacampsinae Bruand, 1850",This name is accepted,"Crasimorpha peragrata Meyrick, 1923","Exotic Microlepidoptera, 3, 33",,
"Craspedotis Meyrick, 1904",Unassigned,This name is accepted,"Craspedotis pragmatica Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 258 [key], 326",,
"Cratinitis Meyrick, 1935","Anacampsinae Bruand, 1850","This name is a synonym of Clepsimacha Meyrick, 1934",,,,
"Crossobela Meyrick, 1923","Anacampsinae Bruand, 1850","This name is a synonym of Mesophleps Hübner, [1825]",,,,
"Crypsimaga Meyrick, 1931",Unassigned,This name is accepted,"Crypsimaga cyanosceptra Meyrick, 1931","Exotic Microlepidoptera, 4, 66",,
"Curvisignella Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Apatetris leucogaea Meyrick, 1921","The Moths of South Africa, 5, 227 [key], 231",,
"Cymotricha Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Dactylethrella Fletcher, 1940","Anacampsinae Bruand, 1850",This name is accepted,"Dactylethra tetroctas Meyrick, 1906","Entomologist’s Rec. J. Var., 52, 18",,
"Dactylotula Cockerell, 1888","Apatetrinae Meyrick, 1947","This name is a synonym of Apatetris Staudinger, 1879",,,,
"Daltopora Povolný, 1979","Anomologinae Meyrick, 1926",This name is accepted,"Daltopora felixi Povolný, 1979","Acta Ent. Bohemoslovaca, 76, 52",,
"Darlia Clarke, 1950","Gelechiinae Stainton, 1854",This name is accepted,"Darlia praetexta Clarke, 1950","Journal of the Washington Academy of Sciences, 40, 288",,
"Decatopseustis Meyrick, 1925","Apatetrinae Meyrick, 1947",This name is accepted,"Gelechia xanthastis Lower, 1896","Genera Insectorum, 184, 15 [key], 20 [key], 140",,
"Dectobathra Meyrick, 1904","Dichomeridinae Hampson, 1918","This name is a synonym of Helcystogramma Zeller, 1877",,,,
"Deltophora Janse, 1950","Anomologinae Meyrick, 1926",This name is accepted,"Xenolechia peltosema Lower sensu Janse, 1950","The Moths of South Africa, 5, 121",,
"Dendrophilia Ponomarenko, 1993","Anacampsinae Bruand, 1850","This name is a synonym of Empalactis Meyrick, 1925",,,,
"Dentivalva Omelko, 1986","Gelechiinae Stainton, 1854",This name is accepted,"Parachronistis (Dentivalva) maritima M.M. Omelko, 1986","Entomologicheskoe Obozrenie, 65, 758, 759 [keys], 764",,
"Desmaucha Meyrick, 1918",Unassigned,"This name is a synonym of Pavolechia Busck, 1914",,,,
"Diastaltica Walsingham, 1910","Anacampsinae Bruand, 1850",This name is accepted,"Diastaltica separabilis Walsingham, 1910","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 32",,
"Dichomeris Hübner, [1818]","Dichomeridinae Hampson, 1918",This name is accepted,"Dichomeris ligulella Hübner, 1818","Zuträge Samml. Exot. Schmett., 1, 25",,
"Dicranucha Janse, 1954",Unassigned,This name is provisionally accepted,,The moths of South Africa. 5: 9562,,
"Diprotochaeta Diakonoff, 1941","Gelechiinae Stainton, 1854",This name is accepted,"Diprotochaeta fallax Diakonoff, 1941",Treubia 18 (1): 195,,
