Genus,Subfamily,Status,Type species,Reference,Link to the reference,Gbif node
"Acanthophila Heinemann, 1870","Dichomeridinae Hampson, 1918",This name is accepted,"Gelechia alacella Zeller, 1839",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 320.,https://archive.org/details/bub_gb_yJkHAQAAIAAJ/page/n326/mode/1up?view=theater,
"Acompsia Hübner, [1825]","Dichomeridinae Hampson, 1918",This name is accepted,"Phalaena cinerella Clerck, 1759",Verz. bekannter Schmett.: 409.,https://archive.org/details/verzeichnissbeka00hb?view=theater#page/409/mode/1up,
"Acraeologa Meyrick, 1921","Anacampsinae Bruand, 1850","This name is a synonym of Stomopteryx Heinemann, 1870","Acraeologa xerochroa Meyrick, 1921","Annals of the Transvaal Museum, 8, 66.",https://archive.org/details/annalsoftran819211922tran/page/66/mode/1up?view=theater,
"Acrophiletis Meyrick, 1932","Anacampsinae Bruand, 1850",This name is accepted,"Acrophiletis cosmocrossa Meyrick, 1932","Exotic Microlepidoptera, 4, 348",,
"Acutitornus Janse, 1951","Anomologinae Meyrick, 1926",This name is accepted,"Acutitornus munda Janse, 1951","The Moths of South Africa, 5, 227 [key], 234.",,
"Adelomorpha Snellen, 1885",Unassigned,This name is provisionally accepted,"Adelomorpha ritsemae Snellen, 1885",Tijdschrift voor Entomologie. 28: 9692,https://archive.org/details/tijdschriftvoore28188485nede/page/31/mode/1up?view=theater,
"Adoxotricha Meyrick, 1938",Unassigned,This name is accepted,"Adoxotricha symbolistis Meyrick, 1938","Exploration Du Parc National Albert : Mission G. F. De Witte (1933-1935), 14, 15.",,
"Adullamitis Meyrick, 1932","Gelechiinae Stainton, 1854",This name is accepted,"Adullamitis emancipata Meyrick, 1932","Exotic Microlepidoptera, 4, 198.",,
"Aenigma Omelko, 1988","Anomologinae Meyrick, 1926","This name is a synonym of Semophylax Meyrick, 1932","Psoricoptera apicepuncta Busck, 1911","Exotic Microlepidoptera, 4, 200.",,
"Aeolotrocha Meyrick, 1921","Dichomeridinae Hampson, 1918",This name is accepted,"Gelechia obseratella Zeller, 1877","Horae Societatis Entomologicae Rossicae, 13, 369.",,
"Aerotypia Walsingham, 1911","Anomologinae Meyrick, 1926",This name is accepted,"Aerotypia pleurotella Walsingham, 1911","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 82.",,
"Agathactis Meyrick, 1929","Anacampsinae Bruand, 1850",This name is accepted,"Agathactis toxocosma Meyrick, 1929","Exotic Microlepidoptera, 3, 501.",,
"Agnippe Chambers, 1872","Gelechiinae Stainton, 1854",This name is accepted,"Agnippe biscolorella Chambers, 1872","Canadian Entomologist, 4, 194.",,
"Agonochaetia Povolný, 1965","Gelechiinae Stainton, 1854",This name is accepted,"Agonochaetia incredibilis Povolný, 1965","Acta Ent. Bohemoslovaca, 62, 487.",,
"Athrips Billberg, 1820","Gelechiinae Stainton, 1854",This name is accepted,"Phalaena mouffetella Linnaeus, 1758",Enumeration Insect. Mus. G. J. Billberg: 93.,,
"Allophlebia Janse, 1960","Dichomeridinae Hampson, 1918",This name is accepted,"Allophlebia hemizancla Janse, 1960","The Moths of South Africa, 6, 197",,
"Allotelphusa Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Telphusa ia Meyrick, 1909","The Moths of South Africa, 6, 96.",,
"Alsodryas Meyrick, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Alsodryas lactaria Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 250.",,
"Altenia Sattler, 1960","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia perspersella Wocke, 1862","Deutsche Entomologische Zeitschrift (N.F.)7: 16, & 17 [keys], 58.",,
"Amblypalpis Ragonot, 1885","Anomologinae Meyrick, 1926",This name is accepted,"Amblypalpis olivierella Ragonot, 1886","Bulletin De La Société Entomologique De France, 1885, ccix.",,
"Amblyphylla Janse, 1960","Anacampsinae Bruand, 1850",This name is accepted,"Amblyphylla lophozancla Janse, 1960","The Moths of South Africa, 6, 199.",,
"Amphigenes Meyrick, 1921",Unassigned,This name is provisionally accepted,"Amphigenes tartarea Meyrick, 1921",Exotic Microlepidoptera. 2: 4502,,
"Anacampsis Curtis, 1827","Anacampsinae Bruand, 1850",This name is accepted,"Phalaena populella Clerck, 1759","Br. Ent., 4, folio 189.",,
"Ananarsia Amsel, 1959","Dichomeridinae Hampson, 1918","This name is a synonym of Anarsia Zeller, 1839","Tinea spartiella Schrank, 1802","Versuch einer naturgemässen Eintheilung der Schaben. Isis Von Oken, 1839, 167–220.",,
"Anapatetris Janse, 1951","Anomologinae Meyrick, 1926",This name is accepted,"Epiphthora crystallista Meyrick, 1911","The Moths of South Africa, 5, 227 [key], 233.",,
"Anaphaula Walsingham, 1904","Anomologinae Meyrick, 1926","This name is a synonym of Chrysoesthia Hubner, [1825]","Tinea zinckenella Hübner, [1813]",Verz. bekannter Schmett.: 422.,,
"Anarsia Zeller, 1839","Dichomeridinae Hampson, 1918",This name is accepted,"Tinea spartiella Schrank, 1802","Versuch einer naturgemässen Eintheilung der Schaben. Isis Von Oken, 1839, 167–220.",,
"Anasphaltis Meyrick, 1925","Anacampsinae Bruand, 1850",This name is accepted,"Ypsolophus renigerellus Zeller, 1839","Genera Insectorum, 184, 18 [key], 107.",,
"Anastomopteryx Janse, 1951","Anacampsinae Bruand, 1850",This name is accepted,"Anastomopteryx angulata Janse, 1951","The Moths of South Africa, 5, 269.",,
"Anastreblotis Meyrick, 1927",Unassigned,This name is accepted,"Anastreblotis calycopa Meyrick, 1927",Insects Samoa 3(Lepid. 2): 77.,,
"Angustialata Omelko, 1988","Gelechiinae Stainton, 1854",This name is accepted,"Angustialata gemmellaformis M.M. Omelko, 1988","Entomologicheskoe Obozrenie, 67, 150.",,
"Angustiphylla Janse, 1960","Anomologinae Meyrick, 1926",This name is accepted,"Angustiphylla hylotropha Janse, 1960","The Moths of South Africa, 6, 193.",,
