Authors,Year,Title 
"Caradja, A. and E. Meyrick",1935,"Materialien zu einer microlepidoptera–fauna der chinesischen Provinzen Kiangsu. Checking und Hunan, Bucharest. 96 pp."
"Chambers, V.T.",1875,Tineina of the United States. Cincinnati Qtr. J. Sco. 2: 226–259.
"Chretien, P. ",1899,Description d’un nouveau genre et d’une nouvelle espèce de Microlépidoptère. Bull. Soc. Ent. Fr. 1899: 206.
"Chretien, P. ",1900,Les Coleophora du Dorycnium. Naturaliste 1900: 68–70.
"Chretien, P. ",1901,Description d’une nouvelle espèce de Teleia [Microlep.]. Bull. Soc. Ent. Fr. 1901: 10–12.
"Christoph, H.",1882,Neue Lepidopteren des Amurgebietes. Bull. Soc. Imp. Nat. Moscou 57(2): 5–47.
"Clarke, J.F.G.",1932,New microlepidoptera from the Pacific Coast (Gelechiidae). Can. Ent. (Ottawa) 64: 63–69.
"Clarke, J.F.G.",1934,Notes and new species of microlepidoptera from Washington State. Can. Ent. (Ottawa) 66: 171–181.
"Clarke, J.F.G.",1942,Notes and new species of microlepidoptera from Washington state. Proc. U.S. Natl. Mus. (Washington) 92: 267–276.
"Clarke, J.F.G.",1954,"Eustalodes anthivora (Gelechiidae, Lepidoptera), a new pest of Achras sapota in the Philippines. The Philippine Agriculturist 37(8): 450–454."
"Clarke, J.F.G.",1955,Catalogue of the type specimens of microlepidoptera in the British Mus. (Natural History) described by Edward Meyrick. Vol. I. 332 pages. London: Trustees of the British Museum (Natural History).
"Clarke, J.F.G.",1958,A new genus and two new species of Microlepidoptera from Japan (Gelechiidae). Entomological News 69(1): 1–5.
"Clarke, J.F.G.",1967,Catalogue of the type specimens of microlepidoptera in the British Mus. (Natural History) described by Edward Meyrick. Vol. VI. 537 pages. London: Trustees of the British Museum (Natural History).
"Clarke, J.F.G.",1969,Catalogue of the type specimens of microlepidoptera in the British Mus. (Natural History) described by Edward Meyrick. Vol. VII. 531 pages. London: Trustees of the British Museum (Natural History).
"Common, I.F.B.",1990,Moths of Australia. vi + 585 pp. Victoria: Melbourne University Press.
"Common, I.F.B.",1967,Microlepidoptera of the Philippine Islands. Bull. U.S. Nat. Mus. 257: 1–484.
"Constant, A. ",1890,"Descriptions de Microlépidoptères ou peu connus. Annls. Soc. ent. Fr. 69: 5–16, pl. 1."
"Cooper, W.S. ",1967,"Coastal dunesof California. Mem. Geol. Soc. Amer. (Washington) 104: 1–131, 15 pl."
"Danilevsky, A.S.",1955,"New species of Lepidoptera, Microheterocera, injurious to trees and shrubs in Central Asia. Ent. Obozr. 34: 108–123 [In Russian]."
"De Benedictis, J.A., D.L. Wagner, and J.B. Whitfield",1990,"Larval hosts of microlepidoptera of the San Bruno Mountains, California. Atala (Seattle) 16: 14–35."
"Disque, H.",1901,Verzeichnis der in der Umgegend von Speyer vorkommenden Kleinschmetterlinge. Dt. Ent. Z. Iris 14: 149–176.
"Disque, H.",1908,Versuch einer microlepidopterologischen Botanik. Dt. Ent. Z. Iris 21: 34–147.
"Dostal, J.",1989,"Nova kvetena CSSR 1, 2. Academia Praha, 1548 pp."
"Eckstein, K. ",1933,Die Schmetterlinge Deutschlands. Bd. 5. Die Kleinschmetterlinge Deutschlands. Stuttgart: Lutz Verlag. 223 pp.
"Edwards, E.D.",1996,"Gelechiidae. In Nielsen, E.S. et al. (eds.), Monographs on Australian Lepidoptera. Checklist of the Lepidoptera of Australia. Canberra 4: 107–114."
"Elsner, G.",1996,"A new West–Palaearctic genus and species, externally similar to Stenolechia gemmella, with taxonomical notes on related genera (Lepidoptera, Gelechiidae). Klapalekiana, 31(1995): 73–90."
"Elsner, G. and V. Elsner",1985,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 82: 395–397.
"Elsner, G. and V. Elsner",1989,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 86: 77.
