Authors,Year,Title 
"Karsholt, O., K. Larsen, and L. Aarvik",1986,"A remarkable disjunction Scrobipalpareiprichi Povolny, 1984 discovered in Norway, with remarks on the characteristics of the species (Lepidoptera, Gelechiidae). Nota lepid. 9(3–4): 191–199."
"Karsholt, O. and E. Nielsen",1974,"A new species of Gnorimoschema from northern Europe (Lepidoptera, Gelechiidae). Notul. Ent. (Helsinki) 54: 91–96."
"Karsholt, O. and E. Nielsen",1998,"A new brachypterous Ephysteris Meyrick from the Island of Maderia (Lepidoptera, Gelechiidae). Entomologist‚Äôs Gaz. 49: 35–47."
"Karsholt, O. and J. Razowski",1996,"The Lepidoptera of Europe. Apollo Books, Stenstrup 380 pp."
"Karsholt, O. and T. Riedl",1996,"Gelechiidae, pp. 103–122. In Karsholt, O. and J. Razowski (eds), The Lepidoptera of Europe. A Distributional Checklist. 380 pp. Apollo Books, Stenstrup."
"Karsholt, O. and T. Rutten",2005,"The genus Bryotropha Heinemann in the Western Palaearctic (Lepidoptera, Gelechiidae). Tijds. Ent. 148: 77–207."
"Karsholt, O. and K. Sattler",1998,A new brachypterous Ephysteris Meyrick from the island of Madeira (Lepidoptera: Gelechiidae). Ent. Gaz. 49: 35–47.
"Kasy, F.",1978,"Die Schmetterlingsfauna des Naturschutzgebietes Hackelsberg, Nordburgenland. Z. ArbGem. ost. Ent. 30(Suppl.): 1–44."
"Kasy, F.",1979,"Die Schmetterlingsfauna des Naturschutzgebietes Hackelsberg, Nordburgenland. Z. ArbGem. Oster. Ent. 30(Suppl.): 1–44."
"Kasy, F.",1985,"Die Schmetterlingsfauna des Naturschutzgebietes ‚ÄúPischelsdorger Fischawiesen‚Äù, ostliches Niederosterreich. Z. ArbGem. ost. Ent. 36(Suppl.): 1–27."
"Kasy, F.",1987,Die Schmetterlingsfauna des Naturschutzgebietes ‚ÄúGlaslauterriegel–Heferlberg‚Äù sudlich von Wien. Z. ArbGem. ost. Ent. 38(Suppl.): 1–35.
"Kasy, F.",1990,Beitrag zur Kenntnis der Schmetterlingsfauna des WWF–Naturreservates Marchauen/Marchegg (mit NaniAu) in Niederosterreich. Z. ArbGem. ost. Ent. 41(Suppl.): 1–24.
"Keifer, H.H. ",1927,California microlepidoptera. Pan–Pac. Ent. (San Francisco) 3: 136–138.
"Keifer, H.H. ",1933,"California microlepidoptera VI. Calif. Dept. Agric., Mon. Bull. (Sacramento) 22: 351–365."
"Keifer, H.H. ",1936a,"California microlepidoptera IX. Calif. Dept. Agric., Mon. Bull. (Sacramento) 25: 235–259."
"Keifer, H.H. ",1936b,"California microlepidoptera X. Calif. Dept. Agric., Mon. Bull. (Sacramento) 25: 349–359."
"Keifer, H.H. ",1937,"California microlepidoptera XI. Calif. Dept. Agric., Mon. Bull. (Sacramento) 26: 177–203."
"Kerppola, S. ",1994,"Saarenmaa – maantiede, ilmasto, kasvillisuus ja perhoset. Baptria 19(4): 123–139."
"Klimesch, J. ",1947,"Brachmia arulensis Rbl. (Lepidoptera, Gelechiidae). Z. wien. Ent. Ges. 31(1946): 65–72."
"Klimesch, J. ",1950,"Contributo alla fauna lepidotterologica del Trentino. Studi trent. Sci. nat. 27: 11–68, 10 pls."
"Klimesch, J. ",1953–1954,"Die an Caryophyllaceen lebenden europaeischen Gnorimoshcema Busck–Arten. Zeit. Wien. Ent. Gesel. 38(1953): 225–239, 272–282, 311–319; 39(1954): 273–288, 335–341, 357–362."
"Klimesch, J. ",1961,"Ordnung Lepidoptera I. Teil: Pyralidina, Tortricina, Tineina, Eriocraniina, und Micropterygina. In Franz, H., Die Nordost–Alpen im Spiegel ihrer Landtierwelt 2: 431–789."
"Klimesch, J. ",1968,"Die Lepidopteren fauna Mazedoniens, IV Microlepidopteren. Posebno Izd. Prirod. Muz. Skopje 5: 1–203."
"Kloet, G.S. and W.D. Hincks",1945,A check list of British insects. Stockport: Kloet and Hincks. lix + 483 pages.
"Kocak, A.",1984,"On the validity of the species group names proposed by Denis & Schiffermuller, 1775 in Ank (ndung (sic!) eines systematischen Werkes vonden Schmetterlingen der Weiner Gegend. Priamus 3(4): 133–154."
"Kornerup, A. and J.H. Wanscher",1983,"Methuen Handbook of Colour. 3rd ed. 252 pp. London: Methuen and Co., Ltd."
"Kostyuk, I. Yu., Yu. Budashkin, and M.I. Golovushkin",1994,"Family Gelechiidae. In Cheshuekrylye zapovednika “Daurskii”, [The Lepidoptera of the Dahursky nature reserve]. Kiev: 9–10 [In Russian]."
"Krampl, F., J. Liska, and J. Patocka",1988,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 85: 313–317.
"Kuroko, H.",1961,"Description of Microsetia sexguttella Thunberg and its allied new species from Japan (Lepidoptera, Gelechiidae). Esakia 3: 1–9, 3 Taf."
"Kuznetzov, N.Y.",1967,Gelechiidae. Fauna of Russia and adjacent countries Lepidoptera 1: 305.
"Kuznetzov, V.I. and A.A. Stekolnikov. ",1984,"Classification and phylogenetic relationships of the families and superfamilies of the Gelechioid moths (Lepidoptera, Papilionomorpha: Copromorphoidea, Elachistoidea, Coleophoroidea, Gelechioidea) with regard of functional morphology of the male genitalia. [In Russian}. Trudy zool. Inst. Leningr. 122: 3–68."
"Langston, R.L.",1974,Extended flight periods of coastal and dune butterflies in California. J. Res. Lepid. (Beverly Hills) 13: 83–98.
"Larsen, K.",1982,"Monochroa farinosae (Stainton, 1867) ny for den danske fauna (Lepidoptera, Gelechiidae). Ent. Meddr. 49: 138–140."
"Lastuvka, Z. ",1993,"Katalog motylu moravskoslezskeho region (Lepidoptera) (Katalog von Faltern der mahrischschlesischen Region). AF VSZ Brno, 130 pp."
"Lastuvka, Z. ",1998,"Seznam motylu Ceske a Slovenske repuliky (Checklist of Lepidoptera of the Czech and Slovak Republics). Konvoj, Brno, 118 pp."
"Lastuvka, Z., A. Lastuvka, J. Liska, J. Marek, and J. Vavra",1992,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 89: 466–472.
"Lastuvka, Z., J. Liska, J. Vavra, V. Elsner, A. Lastyvka, J. Marek, T. Dufek, M. Dovorak, F. Kopecek, M. Petru, J. Skvva, and P. Vitek",1994,Faunistic records from the Czech Republic – 18. Lepidoptera. Klapalekiana 30: 197–206.
"Le Marchand, S.",1947,Les Tineina Gelechiidae. Revue française de Lépidoptèrologie II(7–8): 145–163.
"Lee, S.M. and K.T. Park",1999,"A taxonomic review of the genus Monochroa (Lepidopera, Gelechiidae) in Korea. Korean Journal of Applied Entomology 38: 201–207."
"Lee, S.M. and K.T. Park",2000,Three species of the subfamily Gelechiinae (Lepidoptera) new to Korea. Ins. Koreana 17(1/2): 63–70.
"Lee, S.M. and R.L. Brown",2008a,Revision of Holarctic Teleiodini (Lepidoptera: Gelechiidae). Zootaxa1818: 1–55.
"Lee, S.M. and R.L. Brown",2008b,Phylogenetic relationships of Holarctic Teleiodini (Lepidopera: Gelechiidae) based on analysis of morphological and molecular data.  Systematic Entomology 33: 595–612.
"Leraut, P.",1980,"Prolita n. nov. pour Lita Treitschke, 1833, n. praeocc. (Lep., Gelechiidae). Alexanor 18: 182."
"Leraut, P.",1997,"Liste systematique et synonymique des Lepidopteres de France, Belgique et Corse (2. Auflage). Suppl. A Alexanor, Paris, 526 pp."
"Lhomme, L.",[1946–1949],"Gelechiidae, pp. 530–677. In Lhomme, L., 1935–[1963]. Catalogue des Lepidopteres de France et Belgique 2. 1253 pp. Le Carriol."
"Li, H.H.",1996,"A systematic study on the family Gelechiidae (Lepidoptera) from the Northwest and some other regions of China. 283 pp. Institute of Zoology, Shaanxi."
"Li, H.H.",1990a,New records of Gelechiid from China. Jour. Northwest For. Coll. 5(3): 8–12 [In Chinese].
"Li, H.H.",1990b,Identification of Ethmiopsis prosectrix Meyrick (Lepidoptera: Gelechiidae). Jour. Northwest For. Coll. 5(4): 48–51 [In Chinese].
"Li, H.H. and Z.M. Zheng",1995,New species and new records of the genus Mesophleps Hubner (Lepidoptera: Gelechiidae) from Kenya and China. Jour. Northwest For. Coll. 10(4): 27–35.
"Li, H.H. and Z.M. Zheng",1996,A systematic study on the Genus Dichomeris Hubner from China (Lepidoptera: Gelechiide). SHILAP Revta. Lipid. 24(95): 229–273.
"Li, H.H. and Z.M. Zheng",1997a,"Description of seven new species of the genus Dichomeris Hubner from China (Lepidoptera, Gelechiidae). Entomologia Sinica 4(3): 220–230."
"Li, H.H. and Z.M. Zheng",1997b,"A study on the genus Bryotropha Heinemann from China (Lepidoptera, Gelechiidae). Acta Zootaxonomica Sinica 22(4): 392–402."
"Li, H.H. and Z.M. Zheng",1998a,"Genus Dactylethrella (Lepidoptera, Gelechiidae) in China with description of one new species. Entomotaxonomia 20(1): 57–60."
"Li, H.H. and Z.M. Zheng",1998b,"Notes on Hypatima and Homoshelas (Lepidoptera, Gelechiidae) from the mainland of China with descriptions of new species. Entomotaxonomia 20(2): 143–149."
"Li, H.H. and Z.M. Zheng",1998c,"A systematic study on the genus Dendrophilia Ponomarenko, 1993 from China (Lepidoptera, Gelechiidae). SHILAP Revta. Lepid. 26(102): 101–111."
"Li, H.H. and Z.M. Zheng",1998d,Phylogeny and biogeography of Palearctic Evippe (Lepidoptera: Gelechiidae). Acta Zootaxonomica Sinica23: 199–206 [In Chinese].
"Li, H.H. and Z.M. Zheng",1998e,A taxonomic review of the genus Faristenia from China (Lepidoptera: Gelechiidae).  Acta Zootaxonomica Sinica23: 386–398.
"Li, H.H. and Z.M. Zheng",1998f,"The genus Capidentalia Park in China (Lepidoptera, Gelechiidae). Reichenbachia 32(45): 307–312."
"Liska, J., J. Patocka, J. Skyva, and M. Turcani",1992,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 89: 73–74.
"Liu, Y.",1983,Gelechiidae. In Iconographia Heterocerorum Sinicorum 1: 18–21. Bejing.
"Liu, Y. and F. Qian",1994,A new species of the genus Dichomeris injurious to China fir (Lepidoptera: Gelechiidae). Entomologia sin. 1(4): 297–300.
"Liu, Y., G. Shen, and J. Bai",1981,"Gelechiidae. In Wang, P. et al. (eds.), Iconographia Heterocerorum Sinicorum. 18–21 pp. Beijing."
"Lvovsky, A.L. and V.I. Piskunov",1989,"The gelechiid moths (Lepidoptera, Gelechiidae) of the Transalatai Gobi. Ins. Mongolia 10: 521–571 [In Russian]."
Mann. J.,1872,"Verzeichniss der im Jahre 1851 bei Brussa in Kleinasien gesammelten Schmetterlinge. Wien ent. Monatschr. 6: 356–371, 373–409."
"Matsumura, S.",1931,"Gelechiidae. 6000 Illustrated Insects of Japan. 1,487 pp. Tokyo."
"McCarty, M.E., D. Adamski, M.A. Metz, and J.–F. Landry ",2020,Two new species in the genus Frumenta Busck 1939 (Lepidoptera: Gelechiidae: Gnorimoschemini) with the discovery of a culcitula in the male. Proceedings of the Entomological Society of Washington 122(2): 415–441.
"Meess, A.",1923,"Die cecidogenen und cecidocolen Lepidopteren, gallenerzeugende und gallenbewohnende Schmetterlinge, und ihre Cecidien. In R√ºbsaamen, E.H. and h. Hedicke (eds): Die Zoocecidien, durch Tiere erzeugte Pflanzengallen Deutschlands und ihrer Bewohner 1: 499–584, pls. XXV–XXXVII."
"Mey, W. and H. Schnee",1992,"Zur Kenntnis der amerikanischen Fitchtennadel–Miniermotte Coleotechnites piceaella (Kearfott) in Deutschland (Lepidoptera, Gelechiidae). Rudolstadter nat. hist. Schr. 4: 71–77."
"Meyrick, E.",1887,Description of some exotic Micro–Lepidoptera. Trans. Ent.  Soc. Lond. 1887: 269–280.
"Meyrick, E.",1895,A Handbook of British Lepidoptera. London. MacMillan. 843 pp.
"Meyrick, E.",1904,Description of Australian Micro–Lepidoptera. Proc. Linn. Soc. N.S. Wales 29: 313–314.
"Meyrick, E.",1907,Descriptions of Indian Microlepidoptera IV. Journal Bombay Natural History Society 17: 976–994.
"Meyrick, E.",1910,Description of Malayan Microlepidoptera.  Trans. ent. Soc. London 1910: 437–452.
"Meyrick, E.",1911,Description of Indian Microlepidoptera XIV. Journal Bombay Natural History Society 21: 103–131.
"Meyrick, E.",1913,Description of Indian Microlepidoptera XXI. Journal Bombay Natural History Society 22: 160–182.
"Meyrick, E.",1914a,Descriptions of Indian Microlepidoptera XXI. Journal of the Bombay Natural History Society 22: 771–781.
"Meyrick, E.",1914b,Descriptions of Indian Microlepidoptera XXII. Journal of the Bombay Natural History Society 23: 118–130.
"Meyrick, E.",1921,New Microlepidoptera. Zool. Meded. Mus. Leiden 6: 145–202.
"Meyrick, E.",1923,Description of New Zealand Lepidoptera. Trans. NewZeal. Institute 54: 162–169.
"Meyrick, E.",1925,"Lepidoptera Heterocera. Family Gelechiadae. Genera Insectorum, Fasc. 184 : 1–290, pl. 1–5. Bruxelles."
"Meyrick, E.",1926,Exotic Microlepidoptera 3: 276. Marlborough.
"Meyrick, E.",1928,"A Revised Handbook of British Lepidoptera. Watkins and Doncaster, London, vi + 914 pp."
"Meyrick, E.",1931,"Descriptions and records of Microlepidoptera. In Caradja, A. and E. Meyrick (eds.), Materialen zu einer Microlepidoteren–Fauna Kwangtungs. Iris 48: 28–43."
"Meyrick, E.",1935,"List of Microlepidoptera of Chekiang, Kiangsu and Hunan. In Caradja, A. and E. Meyrick (eds.), Materialien zu einer Microlepidopteren. Fauna der chinensischen Provinzen Kiangsu, Chekiang und Hunan. 44–96 pp. Berlin."
"Meyrick, E.",1938,"Gelechiadae. In Caradja, A. and E. Meyrick (eds.), Materialien zu einer Microlepidopteren fauna des Yulingshanmassivs (Provinz Yunnan). Dt. Ent. Z. Iris 52: 3–7."
"Miller, F.",1956,"Zemedelska entomologie. CSAV, Praha, 1056 pp."
"Miller, S.E. and R.W. Hodges",1990,"Primary types of microlepidoptera in the Museum of Comparative Zoology (with a discussion on V.T. Chambers‚Äô work). Bull. Mus. Comp. Zool. (Cambrige, Ma.) 152: 45–87."
"Miyata, A.",1983,Handbook of the Moth Ecology. Moths as an Indicator of the Environment. 1451 pp.
"Moriuti, S.",1977a,New and unrecorded gelechioid moths from Japan taken by Mr Watanabe in the Island of Yakusima. TINEA 10(12): 119–136.
"Moriuti, S.",1977b,Two new species of Microlepidoptera from Japan: A Gerontha (Tineidae) and a Telphusa. TINEA 10(13): 131–136.
"Moriuti, S.",1982,"Gelechiidae, I: 275–288, II: 212–215 . In Inoue, H., et al. Moths of Japan. Tokyo. Kodansha Co. Ltd."
"Moriuti, S. and T. Ueda",1993,Paralida triannulata Clarke (Lepidoptera: Gelechiidae) new to the fauna of Thailand. Tyo to Ga 44(2): 75–76.
"Muller–Rutz, J. ",1932,Die Schmetterlinge der Schweiz. 6. Nachtrag–Microlepidopteren. Mitt. Schweiz. ent. Ges. 15: 221–266.
"Munz, P.A. and D.D. Keck",1959,A California Flora. Berkeley. Univ. Calif. Pr. 1681 pp.
"Munz, P.A. and D.D. Keck",1968,A California Flora and Supplement. Berkeley. Univ. Calif. Pr. 224 pp.
"Murtfeldt, M.E.",1900,New Tineidae with life histories. Can. Ent. (Ottawa) 32: 161–166.
"Nel, J.",1995a,"Sur quelques Isophrictis Meyrick, 1917, et description d‚ÄôI. cerdanica n. sp. (Lepidoptera, Gelechiidae). Bull. de la Soc. Ent. De France 100(2): 179–194."
"Nel, J.",1995b,Sur quelques especes nouvelles ou peu connues de Gelechiidae observes au Mont Ventoux (Vancluse) et en Basse–Provence. Quatrieme contribution a la connaissance des Gelechiidae du sud de la France (Lepidoptera). Alexanor 19(1): 37–45.
"Nel, J.",1997,"Mise au point sur les Anaria Zeller, 1839, de France (hormis Anarsia lineatella Zeller, 1839) (Lepidoptera, Gelechiidae). Alexanor 20(1): 29–41."
"Nel, J.",1998,"Gelechioidea nouveaus pour la France, pour la Science ou rarement signal√©s. Alexanor 20(1997): 217–232."
"Nel, J. and G. Luquet. ",1997,"Deux nouvelles especes d‚ÄôAnomologinae du mont Ventoux et de Provence, France (Lep., Gelechiidae). Bull. de la Soc. Ent. De France 102(1): 37–38."
"Nel, J., T. Varenne, and G. Labonne ",2019,"Description de Stomopteryx spathulella sp. n., esp√®ce cryptique de S. remissella (Zeller, 1847), d√©couverte dans le Sud de la France. Revue d ƒæAssociation Roussillonnaise ƒèEntomologie. 28(4): 214–218."
"Nielsen, E.S., and I.F.B. Common",1991,"Lepidoptera (moths and butterflies), pp. 817–915. In CSIRO Division of Entomology (ed.), The Insects of Australia. Melbourne: Melbourne University Press."
"Novak, I. and J. Liska ",1997,Katalog motylu (Lepidoptera) Cech. Katalog der Falter Bohmens. Klapalekiana 33 (Suppl.): 1–159.
"Nupponen, K. and J. Junnilainen",1995,Perhoshavainroj Virosta vuonna 1994 (Records of Lepidoptera from Estonia 1994). Baptria 20(3): 131–142.
"Nye, I.W. and D.S. Fletcher",1991,The generic names of moths of the World. Microlepidoptera. London 6: 368 pp.
"Oatman, E.R., J.A. Wyman, and G.R. Platner",1979,Seasonal occurrence and parasitization of the tomato pinworm on frech market tomatoes in southern California. Environ. Ent. (Lanham) 8: 661–664.
"Okada, M.",1961a,"A new species of Telephila from Japan (Lepidoptera, Gelechiidae). Pub. Ent. Univ. Osaka Pref. 6: 47–49, figs 1–9."
"Okada, M.",1961b,"The genera Evippe and Stenolechia of Japan, with the descriptions of two species of the latter (Lepidoptera: Gelechiidae). Transactions Shikoku Entomological Society 7: 41–48, pls. 3–7."
"Okada, M.",1962,On some Japanese Gelechiid moths bred from coniferous plants. Bull. Ent. Lab. Coll. Agr. Univ. Osaka Pref. 7: 26–42.
"Okada, M.",1959,"Gelechiidae. In Inoue, H. et al. (eds.), Iconographia Insectorum Japonicorum Colore Naturali edita 1. 284 pp. Tokyo."
"Omelko, M.M. ",1984,Description of three new species of Gelechiidae from South Primorye. Fauna Ecol. Ins. S. Far East.: 28–34.
"Omelko, M.M. ",1986a,"A review of gelechiid moths of the genus Parachronistis Meyr. (Lepidoptera, Gelechiidae) with descriptions of new species from the South of Primorye Territory. Ent. Obozr. 4: 753–768."
"Omelko, M.M. ",1986b,"Moths of the genus Gelechia Hb. (Lepidoptera, Gelechiidae) from Primorye Territory. USSR Acad. Sci. Proc. Zool. Inst. 145: 84–108."
"Omelko, M.M. ",1986c,"New genus Protoparachronistis (Lepidoptera, Gelechiidae) from South Primorye. Syst. Ecol. Lep. Far East USSR: 42–49."
"Omelko, M.M. ",1988,"New genera and species of the gelechiid moths of the tribe Gelechiini from the southern Maritime (Lepidoptera, Gelechiidae). Ent. Obozr. 67(1): 142–159."
"Omelko, M.M. ",1989,"Brief zoogeographic review, ecology and economic significance of the gelechiids of subfamily Gelechiinae (Lepidoptera, Gelechiidae) from South Primorye. Insects of Biologicheskie issledovaniya na Gornotaezhnoy stantsii. Vladivostok. pp. 123–141."
"Omelko, M.M. ",1991,"On the system and morphology of the gelechiid moths of the subfamily Gelechiinae (Lepidoptera, Gelechiidae) with special reference to the fauna of Southern Primorye territory. Ent. Obozr. 70(1): 140–156."
"Omelko, M.M. ",1993a,"Gelechiids moths of the genus Thiotricha Meyrick (Lepidoptera, Gelechiidae) from the Primorye Territory. Biol. Invest. Gornot. Stn. Russian Acad. Sci. pp. 201–215, 217–220."
"Omelko, M.M. ",1993b,"Addition to the fauna of the gelechiid moths from the genus Protoparachronistis Omelko (Lepidoptera, Gelechiidae) of the Russian Far East. Biol. Invest. Gornot. Stn. Russian Acad. Sci. pp. 218–222."
"Omelko, M.M. ",1999,"Family Gelechiidae. Pp. 102–257. In Lelej, A.S., V.S. Kononeko, G.O. Krivoluzkaya, A.N. Kupyanskaya, and I.M. Levanidova (eds.), Key to the Insects of Russian Far East, Vol. V. Trichoptera and Lepidoptera. 670 pp. Vladivostok. Dalnauka."
"Omelko, M.M. ",1993a,"New and little known species of the gelechiid moths of the subfamilies Gelechiinae and Teleiodinae (Lepidoptera, Gelechiidae) from the Southern Primorye Territory. Biol. Invest. Gornot. Stn. Russian Acad. Sci. 187–204 pp."
"Omelko, M.M. ",1993b,"New genus and new and little known species of the gelechiid moths (Lepidoptera, Gelechiidae) from Primorye Territory. Biol. Invest. Gornot. Stn. Russian Acad. Sci. 234–251 pp."
"Omelko, M. and H.B. Omelko ",2022,"A new genus and two new species of gelechiid moths from the subfamily Gelechiinae (Lepidoptera, Gelechiidae) from Borneo. Amurian Zoological Journal 14(4): 662–668."
"Omelko, N.V. and M.M. Omelko",1993,"New species of the gelechiids of the Schemataspis Meyr., Tricyanaula Meyr., Trichembola Meyr., and Pseudotelphusa Janse (Lepidoptera, Gelechiidae) from Primorskii krai. In Biologicheskie issledovaniya v estestvennykh i kulturnykh ekosistemakh. Vladivostok: 216–221 [In Russian]."
"Omelko, N.V. and M.M. Omelko",2004,New genus and species of gelechiid moths (Lepidoptera: Gelechiidae) from subfamily Teleiodinae in South Primorye. Biologicheski issledovaniyana Gornotaezhnoi stantcii 9: 193–196.
"Park, K.T.",1983,"Gelechiidae. In Shin, Y.H. et al. (eds.), Illustrated flora and fauna of Korea. 27. Insecta. Seoul 9: 458–508."
"Park, K.T.",1984,"A new species of the genus Bryotropha Heinemann (Lep., Gelechiidae) from Korea. Korean J. Ent. 14(2): 1–4."
"Park, K.T.",1985,"Two new species of the genus Parachronistis from Korea (Lep., Gelechiidae). Korean J. Ent. 15: 75–79."
"Park, K.T.",1986,Matsumura types of Microlepidoptea described from Korea. Korean J. Ent. 16(2): 107–111.
"Park, K.T.",1987a,"Korean species of the genus Deltophora Janse (Lep., Gelechiidae) with description of a new species. TINEA 12(suppl.): 182–185."
"Park, K.T.",1987b,Two species of Gelechiidae (Lepidoptera) new to Korea. Korean J. Entomology 17(3): 175–178.
"Park, K.T.",1988,"Systematic study of on the genus Anacampsis (Lepidoptera, Gelechiidae) in Japan and Korea. TINEA 12: 135–155."
"Park, K.T.",1989,"Systematics of the subfamily Gelechiidae (Lep., Gelechiidae) in Korea (I), Genera Parachronistis Meyrick and Neochronistis Park gen. nov. Korean J. Appl. Ent. 28(3): 154–166."
"Park, K.T.",1991a,Gelechiidae (Lepidoptera) from North Korea with description of two new species. Annlst hist. nat. Mus. Natn. Hung. 83: 117–123.
"Park, K.T.",1991,"Korean species of the genus Anarsia (Lepidoptera, Gelechiidae). Jpn. J. Ent. 59(3): 490–498."
"Park, K.T.",1991,"Korean species of the genus Athrips (Lepidoptera, Gelechiidae). Korean J. Appl. Ent. 30(3): 196–200."
"Park, K.T.",1992,"Systematics of the Subfamily Gelechiinae (Lepidoptera, Gelechiidae) in Korea II: Tribe Teleiodini. Insecta Koreana 9: 1–33."
"Park, K.T.",1993a,"Two species of the genus Caryocolum (Gelechiidae, Lepidoptera) new to Korea. Korean J. Ent. 23(1): 17–21."
"Park, K.T.",1993b,"Genera Parastenolechia Kanazawa and Laris Omelko (Lepidoptera, Gelechiidae) in Korea. Korean Journal Applied Entomology 32: 184–192."
"Park, K.T.",1993,"Description of two new species of the tribe Teleiodini (Lepidoptera, Gelechiidae) from Korea. Jpn. J. Ent. 61(2): 307–312."
"Park, K.T.",1993,A review of the genus Hypatima and its related genera in Korea. Insecta Koreana 10: 25–49.
"Park, K.T.",1994a,"Genus Dichomeris in Korea, with description of seven new species (Lepidoptera, Gelechiidae). Insecta Koreana 11: 1–25."
"Park, K.T.",1994b,"Notes on Chorivalva and Stenolechia species in Korea, with new synonyms (Lepidoptera, Gelechiidae). Nota lepid. 16(3/4): 281–289."
"Park, K.T.",1995a,"Gelechiidae from Taiwan I. Review of Anarsia, with description of four new species (Lepidoptera, Gelechioidea). Tropical Lepidoptera6: 55–66."
"Park, K.T.",1995b,"Gelechiidae from Taiwan II. Hypatima and allies, with description of a new genus and five new species (Lepidoptera: Gelechioidea). Tropical Lepidoptera 6: 67–85."
"Park, K.T.",1996,"Description of a new species of Dichomeris Hubner (Lepidoptera, Gelechiidae). TINEA 14(4): 230–233."
"Park, K.T.",1996,Illustrations and discussions on type–specimens of Gelechiidae (Lepidoptera) described by A. Caradja. Insecta Koreana 13: 59–75.
"Park, K.T.",1998,"Notes on Meyrick’s types of Gelechiidae (Lepidoptera) in the Caradja collection, “Grigore Antipa” Museum of Natural History, Rumania. TINEA 15(4): 297–305."
"Park, K.T.",2004,"Gelechiidae and Lecithoceridae. Economic Insects of Korea 21. Insecta Koreana Suppl. 28, 152 pp."
"Park, K.T. and B.K. Byun",1995,Microlepidoptera from Jejudo (Lepidoptera). Insecta Koreana Suppl. 5: 137–148.
"Park, K.T. and O. Karsholt",1999,"Revision of the genus Psoricoptera Stainton, 1854 (Lepidoptera, Gelechiidae), with the description of two new Asian species. Entomologica Fennica 10: 35–49."
"Park, K.T. and R.W. Hodges",1995a,"Gelechiidae of Taiwan III. Systematic revision of the genus Dichomeris in Taiwan and Japan. Insecta Koreana 12: 1–96, 7 pls."
"Park, K.T. and R.W. Hodges",1995b,"Gelechiidae of Taiwan IV. Genus Helcystogramma Zeller, with description of a new species (Lepidoptera, Gelechioidea). Korean Journal Systematic Zoology 11: 223–234."
"Park, K.T., M.Y. Kim, M.Y. Chae, T.M. Kang, Y.S. Bae, C. Nguyen, and V. Pham",2006,"A taxonomic review of the subfamily Torodorinae (Lepidoptera, Lecithoceridae) of Vietnam, with descriptions of five new species. Journal Asia–Pacific Entomology 9: 327–337."
"Park, K.T., M.Y. Kim, S.R. Kim, M.Y. Chae, B.K. Byun, and C. Nguyen",2007,"Lecithocerinae (Lepidoptera, Lecithoceridae) of Vietnam I. Genera Homaloxestis Meyrick and Synersaga Gozm√°ny. Journal Asia–Pacific Entomology 10: 201–209."
"Park, K.T., J.S. Lee, and L. Lu. ",2000,Gelechiidae (Lepidoptera) from Mt. Changbai–shan in China. Korean J. Appl. Entom. 39(4): 239–244.
"Park, K.T. and M.G. Ponomarenko",1996a,"Genus Anarsia Hubner (Lepidoptera, Gelechiidae) from Thailand, with description of nine new species. Ins. Koreana 13: 39–58."
"Park, K.T. and M.G. Ponomarenko",1996b,"New faunistic data on the Gelechiidae (Lepidoptera) in Korea, with description of two new species of Anarsia Zeller. Korean J. Entomol. 26(4): 343–349."
"Park, K.T. and M.G. Ponomarenko",1996c,"The genus Anarsia Zeller (Lepidoptera, Gelechiidae) from the Siberia and Far East. Acta Zool. Hung. 42(1): 73–79."
"Park, K.T. and M.G. Ponomarenko",1999,Genus Hypatima H√ºbner and allied genera from Thailand (Lepidoptera: Gelechiidae). Species Diversity 4: 321–337.
"Park, K.T. and M.G. Ponomarenko",2006,New faunistic Data for the family Gelechiidae in the Korea peninsula and NE China (Lepidoptera). SHILAP Revta. Lipid. 34(135): 275–288.
"Park, K.T. and M.G. Ponomarenko",2007a,"A new species of Parastenolechia Kanazawa (Lepidoptera: Gelechiidae) from Korea, with a check list of the genus. Zootaxa 1437: 55–60."
"Park, K.T. and M.G. Ponomarenko",2007b,"Two new species of Gelechiidae (Lepidoptera) from Korea, with notes on the taxonomic status of Telphusa euryzeucta Meyrick. Proc. Entomol. Soc. Wash. 109(4): 807–812."
"Park, K.T. and Y.H. Shin",1985,Notes on two little known species of Microlepidoptera. Ins. Koreana 5: 137–142.
"Pastoralis, G. ",1985,"Prispevok k faunistike motyl‚Äôov v Komarne a jeho blizkom okoli. Iuxta Danubium, Komarno 5: 93–126."
"Pastoralis, G. ",1988,"Nove vysledky faunistickeho vyskumu motyl‚Äôov (Lepidoptera) v okoli Komarna. Ent. Probl., Bratislava 18: 121–132."
"Pastoralis, G. and A. Reiprich",1995,"Zoznam motyl‚Äôov vyskytujucich san a uzemi Slovenska (Verzeichnis der Falterarten die in der Slowakei vorkommen). Slovensky zvaz ochr. Prir. A krajiny, Komarno, Spisska Nova Ves, 52 pp."
"Patočka, J. ",1951,"Motyli nasich lesnich drevin. Brazda, Prha, 206 pp."
