Gelechiidae species name,GBIF taxonKey,Host Plants
Dichomeris atomogypsa Meyrick,1846930,Quercus acutissima; Quercus cerris; Quercus dentata; Quercus serrata; Quercus variabilis
Dichomeris autometra Meyrick,1847394,Lithospermum
Dichomeris barbella Hubner,9157314,Prunus domestica; Prunus spinosa
Dichomeris barymochla Meyrick,1847324,Helicteres isora
Dichomeris baxa Hodges,1847311,Heterotheca sessiliflora bolanderi; Lessingia filaginifolia
Dichomeris bilobella Zeller,1847274,Aster; Solidago; Solidago flexicaulis
Dichomeris bipunctella Walsingham,1847251,Comptonia peregrina; Myrica pensylvanica
Dichomeris bisignella Snellen,1847242,Mallotus philippensis
Dichomeris bolize Hodges,1847183,Brassica
Dichomeris brachyptila Meyrick,1847135,Indigofera spicata
Dichomeris capnites Meyrick,1847066,Acronychia
Dichomeris chlanidota Meyrick,1847411,Acalypha boehmerioides; Tragia hirsuta
Dichomeris cisti Staudinger,1847293,Cistus albidus
Dichomeris citrifoliella Chambers,1847269,Citrus; Citrus aurantium; Citrus sinensis; Ptelea trifoliata; Zanthoxylum; Zanthoxylum americanum
Dichomeris claviculata Meyrick,1847236,Combretum
Dichomeris condaliavorella Busck,1847141,Krugiodendron ferreum; Reynosia latifolia
Dichomeris consertella Christoph,1847106,Corylus heterophylla
Dichomeris copa Hodges,1847059,Solidago
Dichomeris costarufoella Chambers,1847013,Rudbeckia
Dichomeris crepitatrix Meyrick,1846931,Dalbergia sissoo; Millettia auriculata
Dichomeris cuspis Park,,Quercus acuta; Quercus serrata
Dichomeris cymatodes Meyrick,1847489,Sapium sebiferum
Dichomeris decusella Walker,1847429,Croton laevigatus
Dichomeris delotella Busck,1847374,Eupatorium odoratum
Dichomeris derasella Denis & Schiff.,,Crataegus; Malus; Prunus; Rubus
Dichomeris eridantis Meyrick,1847079,Acacia nilotica; Dalbergia sissoo
Dichomeris eucomopa Meyrick,1847044,Bauhinia
Dichomeris euprepes Hodges,1847019,Solidago flexicaulis
Dichomeris eurynotus Walsingham,1847007,Bridelia micrantha
Dichomeris exallacta Meyrick,1846959,Cajanus cajan
Dichomeris fasciella Hubner,1847448,Prunus; Prunus persica; Prunus spinosa
Dichomeris ferruginosa Meyrick,1847412,Sesbania grandiflora
Dichomeris flavocostella Clemens,1847343,Aster; Helianthus; Solidago
Dichomeris fuscalis Park & Hodges,6133362,Wisteria
Dichomeris georgiella Walker,1847166,Quercus; Quercus coccinea/rubra
Dichomeris granivora Meyrick,1847060,Zea mays
Dichomeris hastata Meyrick,11617957,Bambusa
Dichomeris helianthemi Walsingham,1846965,Helianthemum lavandulifolium
Dichomeris holomela Lower,10582852,Angophora; Eucalyptus
Dichomeris hoplocrates Meyrick,11660996,Duchesnea chrysantha; Rubus buergeri; Rubus sieboldii
Dichomeris horoglypta Meyrick,1847375,Indigofera pseudotinctoria
Dichomeris ianthes Meyrick,1847087,Indigofera; Medicago sativa
Dichomeris indiserta Meyrick,1847174,Nephelium lappaceum
Dichomeris inserrata Walsingham,1847149,Helianthus hirsutus; Solidago
Dichomeris intensa Meyrick,1847113,Diospyros kaki
Dichomeris inversella Zeller,1847068,Carya
Dichomeris juncidella Clemens,1846971,Ambrosia; Ambrosia artemisiifolia; Ambrosia trifida; Aralia spinosa; Artemisia tripartita tripartita; Aster; Helianthus tuberosus; Solidago
Dichomeris juniperella Linnaeus,1846916,Juniperus; Juniperus communis
Dichomeris latipennella Rebel,1847413,Picea abies
Dichomeris leptosaris Meyrick,1847344,Corylus heterophylla; Corylus heterophylla heterophylla; Corylus sieboldiana; Quercus mongolica; Quercus mongolica grosseserrata
Dichomeris lespedezae Park,,Lespedeza
Dichomeris leuconotella Busck,1847320,Aster; Aster macrophyllus; Helianthus grosseserratus; Solidago; Solidago caesia; Solidago rugosa; Solidago uliginosa
Dichomeris levisella Fyles,1847259,Aster; Aster cordifolius; Aster macrophyllus; Hieracium aurantiacum; Machaeranthera canescens; Solidago
Dichomeris ligulella Hubner,1847249,Acer saccharum; Betula; Betula papyrifera; Carya; Carya ovata; Castanea dentata; Corylus; Juglans nigra; Malus; Malus coronaria; Malus pumila; Malus sylvestris; Oxydendrum arboreum; Populus grandidentata; Populus tremuloides; Pyrus; Quercus; Quercus alba; Quercus coccinea/rubra; Quercus macrocarpa; Quercus rubra; Tilia; Tilia americana; Vaccinium corymbosum
Dichomeris limbipunctellus Staudinger,1847108,Cistus crispus; Cistus salviifolius
Dichomeris limosellus SchlÃ¤ger,,Medicago sativa; Trifolium; Trifolium pratense
Dichomeris lygropa Lower,1846911,Eucalyptus
Dichomeris marginella Fabricius,1847407,Juniperus; Juniperus chinensis; Juniperus communis; Juniperus horizontalis; Juniperus recurva; Juniperus scopulorum; Juniperus virginiana
Dichomeris mesoctenis Meyrick,1847175,Alchornea ilicifolia
Dichomeris metatoxa Meyrick,1847150,Bauhinia vahlii
Dichomeris microdoxa Meyrick,1847081,Macaranga; Melochia umbellata
Dichomeris microsphena Meyrick,,Bridelia ovata
Dichomeris nenia Hodges,1847463,Indigofera lindheimeriana
Dichomeris nonstrigella Chambers,1847426,Aster; Aster shortii
Dichomeris nr. aenigmatica Clarke,,Ageratum; Parthenium hysterophorus
Dichomeris nr. hemiclina Meyrick,,Parthenium hysterophorus
Dichomeris oceanis Meyrick,1847402,Brassica oleracea capitata; Lithocarpus; Millettia japonica; Quercus; Wisteria; Wisteria brachybotrys; Wisteria floribunda; Wisteria japonica; Wisteria sinensis
Dichomeris ochripalpella Zeller,1847308,Aster; Aster cordifolius; Machaeranthera canescens; Solidago; Solidago canadensis scabra
Dichomeris ochthophora Meyrick,1847260,Eriobotrya japonica; Photinia lucida; Rhaphiolepis umbellata
Dichomeris ostracodes Meyrick,1847075,Derris elliptica
Dichomeris petalodes Meyrick,1847419,Bridelia stipularis
Dichomeris picrocarpa Meyrick,1847327,Pinus strobus; Prunus; Prunus mume; Prunus persica; Prunus pseudocerasus; Prunus yedoensis; Quercus rubra
Dichomeris piperata Walsingham,1847278,Indigofera tinctoria; Medicago sativa; Trifolium; Trifolium subterraneum
Dichomeris quercicola Meyrick,1847393,Lespedeza cyrtobotrya; Quercus; Quercus incana
Dichomeris rasilella Herrich-SchÃ¤ffer,,Artemisia princeps; Artemisia princeps orientalis; Artemisia vulgaris; Centaurea
Dichomeris resignata Meyrick,1847297,Macaranga tanarius
Dichomeris rustica Walsingham,1847042,Indigofera hirsuta
Dichomeris santarosensis Hodges,1847144,Quercus oleoides
Dichomeris schmidiella Heyden,11989838,Origanum
Dichomeris serrativittella Zeller,1846968,Artemisia; Baccharis halimifolia
Dichomeris setosella Clemens,1846945,Aster eatonii; Eupatorium; Pinus strobus; Pluchea; Pluchea odorata; Solidago; Thuja occidentalis; Verbesina virginica; Vernonia
Dichomeris siderosema Turner,1847480,Pongamia pinnata
Dichomeris simpliciella Busck,1847457,Corethrogyne
Dichomeris simpliciella or nr. Busck,,Parthenium hysterophorus
Dichomeris sp.,,Coffea arabica
Dichomeris sp. 1,,Erythroxylum suberosum; Erythroxylum tortuosum
Dichomeris sp. 2,,Erythroxylum deciduum; Erythroxylum tortuosum
Dichomeris sp. 3,,Erythroxylum deciduum; Erythroxylum tortuosum; Myrsine floridana
Dichomeris sp. 4,,Erythroxylum deciduum
Dichomeris sp. 5,,Qualea multiflora
Dichomeris sp. 6,,Ouratea hexasperma
Dichomeris sp. 8,,Erythroxylum deciduum
Dichomeris sparsella Christoph,,Juglans mandshurica; Juglans regia; Pterocarya rhoifolia
Dichomeris stipendiaria Braun,1847291,Aster eatonii; Erigeron; Solidago
Dichomeris tostella Stringer,1847323,Malus dulcissima; Malus pumila; Prunus mume; Prunus persica
Dichomeris trinotella Busck,6133360,Oenothera
Dichomeris ustalella Fabricius,1847097,Acer; Betula; Carpinus; Corylus; Corylus heterophylla; Corylus heterophylla heterophylla; Fagus; Fagus sylvatica; Quercus; Quercus serrata; Salix; Tilia cordata
Dichomeris vacciniella Busck,1847064,Vaccinium; Vaccinium macrocarpon; Vaccinium pallidum
Dichomeris varronia Busck,1847016,Asclepias curassavica
Dichomeris ventrella Fitch,1846992,Betula; Carpinus; Carya; Carya alba; Carya illinoinensis; Castanea dentata; Corylus; Quercus; Quercus coccinea/rubra
Dichomeris vindex Hodges,1847469,Helianthus hirsutus
Dichomeris washingtoniella Busck,1847445,Ambrosia artemisiifolia; Epilobium; Eupatorium; Vernonia missurica
Empedaula insipiens Meyrick,1849503,Breynia vitis-idaea
Encolpotis xanthoria Meyrick,1849114,Coffea; Kerria; Punica granatum
Ephysteris cyrenaica Povolny,1847739,Imperata
Ephysteris ornata Janse,1847741,Osteospermum muricatum
Ephysteris promptella Staudinger,1847727,Andropogon; Oryza; Panicum; Saccharum officinarum; Sorghum; Stipa; Triticum
Ephysteris subdiminutella Stainton,1847761,Balanites aegyptiaca; Tribulus; Tribulus terrestris
Ephysteris zygophyllella Rebel,,Zygophyllum album; Zygophyllum guyotii
Epidola stigma Staudinger,1846374,Vitis
Epimimastis glaucodes Meyrick,1852461,Calophyllum inophyllum
Ethmiopsis tegulifera Meyrick,10259769,Quercus mongolica; Quercus serrata
Eulamprotes atrella Denis & Schiff.,,Hypericum
Eulamprotes phaeella Heckford & Lang.,,Hypericum pulchrum
Eulamprotes wilkella Linnaeus,1846896,Cerastium fontanum; Cerastium fontanum vulgare; Thymus
Eunebristis zingarella Walsingham,1850738,Coccoloba; Coccoloba swartzii; Coccoloba uvifera
Eurysacca melanocampta Meyrick,1848989,Chenopodium quinoa
Eustalodes achrasella Bradley,,Manilkara zapota
Eustalodes anthivora Clarke,11510707,Manilkara zapota
Evippe,,Prosopis ruscifolia
Evippe abdita Braun,1851915,Cercocarpus ledifolius
Evippe albidorsella Snellen,1851903,Lespedeza; Lespedeza bicolor
Evippe evippella Forbes,,Aeschynomene americana
Evippe laudatella Walsingham,,Quercus douglasii; Quercus engelmannii
Evippe prunifoliella Chambers,1851907,Prunus; Prunus americana; Prunus emarginata
Evippe sp.,,Chrysolepis; Lithocarpus; Quercus agrifolia; Quercus chrysolepis; Quercus sadleriana; Quercus tomentella; Quercus wislizeni
Evippe syrictis Meyrick,,Malus pumila; Prunus; Prunus persica
Exoteleia anomala Hodges,1848640,Pinus ponderosa
Exoteleia burkei Keifer,1848646,Pinus; Pinus attenuata; Pinus radiata; Pinus sabiniana
Exoteleia dodecella Linnaeus,1848636,Pinus; Pinus banksiana; Pinus mugo; Pinus nigra; Pinus nigra maritima; Pinus strobus; Pinus sylvestris
Exoteleia graphicella Busck,1848638,Quercus dumosa
Exoteleia nepheos Freeman,1848644,Pinus; Pinus mugo; Pinus resinosa; Pinus sylvestris
Exoteleia pinifoliella Chambers,1848639,Picea abies; Pinus; Pinus banksiana; Pinus contorta; Pinus echinata; Pinus palustris; Pinus ponderosa; Pinus pungens; Pinus resinosa; Pinus rigida; Pinus sylvestris; Pinus virginiana
Faristenia acerella Ponomarenko,11798476,Acer; Acer ginnala
Faristenia furtumella Ponomarenko,10060965,Quercus mongolica
Faristenia geminisignella Ponomarenko,11587655,Acer
Faristenia omelkoi Ponomarenko,11610256,Quercus mongolica
Faristenia polemica Meyrick,11856935,Michelia champaca
Faristenia quercivora Ponomarenko,11704191,Quercus mongolica
Faristenia ussuriella Ponomarenko,11762563,Quercus mongolica
Fascista cercerisella Chambers,1850771,Cercis; Cercis canadensis
Filatima aulaea Clarke,1848497,Purshia glandulosa
Filatima demissae Keifer,1848477,Prunus ilicifolia; Prunus virginiana; Prunus virginiana demissa
Filatima epulatrix Hodges,1848498,Crataegus; Malus; Malus pumila
Filatima frugalis Braun,1848560,Amelanchier alnifolia
Filatima glycyrhizaeella Chambers,1848530,Glycyrrhiza lepidota
Filatima inquilinella Busck,1848478,Salix
Filatima monotaeniella Bottimer,1848561,Acacia farnesiana
Filatima natalis Heinrich,1848531,Arceuthobium; Pinus ponderosa; Pseudotsuga menziesii
Filatima neotrophella Heinrich,1848505,Mimosa asperata
Filatima ornatifimbriella Clemens,1848562,Amorpha fruticosa; Lupinus; Robinia; Thermopsis; Thermopsis rhombifolia montana
Filatima persicaeella Murtfeldt,1848553,Prunus; Prunus gracilis; Prunus persica; Prunus pumila
Filatima pravinominella Chambers,1848495,Populus deltoides; Populus tremuloides; Populus x canadensis
Filatima prognosticata Braun,1848543,Ribes aureum
Filatima pseudacaciella Chambers,1848516,Robinia; Robinia hispida; Robinia pseudoacacia
Filatima saliciphaga Keifer,1848533,Salix sessilifolia
Filatima serotinella Busck,1848569,Prunus; Prunus serotina
Filatima sp.,,Ceanothus thyrsiflorus; Vaccinium pallidum
Filatima sperryi Clarke,,Purshia tridentata
Filatima spurcella Duponchel,,Crataegus; Prunus
Filatima textorella ChrÃ©tien,,Dorycnium pentaphyllum
Filatima xanthuris Meyrick,1848540,Lupinus; Robinia; Thermopsis rhombifolia montana; Vicia
Friseria acaciella Busck,1850729,Acacia
Friseria cockerelli Busck,1850722,Prosopis; Prosopis glandulosa
Frumenta nephelomicta Meyrick,1846314,Solanum elaeagnifolium
Frumenta nundinella Zeller,1846313,Solanum; Solanum carolinense
Gelechia,,Nephelium lappaceum
Gelechia albisparsella Chambers,,Platanus; Platanus occidentalis
Gelechia albomaculata Omelko,1850399,Acer mono
Gelechia anarsiella Chambers,1850358,Ceanothus
Gelechia asinella Hubner,1850346,Salix alba; Salix elaeagnos
Gelechia basipunctella Herrich-SchÃ¤ffer,,Salix; Vicia
Gelechia caudatae Clarke,1850423,Salix lucida caudata
Gelechia conditor Omelko,1850393,Quercus mongolica
Gelechia cuneatella Douglas,1850379,Salix
Gelechia desiliens Meyrick,1850365,Acer pseudoplatanus; Platanus; Platanus occidentalis; Platanus racemosa
Gelechia dyariella Busck,1850281,Populus; Populus deltoides; Populus x canadensis
Gelechia fuscooculata Omelko,1850390,Acer ukurunduense
Gelechia hippophaella Schrank,1850278,Hippophae rhamnoides
Gelechia mandella Busck,1850290,Salix
Gelechia monella Busck,1850429,Ceanothus sanguineus
Gelechia muscosella Zeller,1850386,Populus; Salix; Salix caprea
Gelechia nigra Haworth,1850302,Populus alba; Populus canescens; Populus tremula; Quercus
Gelechia nr. epistolica Meyrick,,Arceuthobium oxycedri
Gelechia panella Busck,1850315,Arbutus; Arbutus menziesii; Arctostaphylos; Arctostaphylos patula
Gelechia paroxynta Meyrick,1850298,Arceuthobium oxycedri
Gelechia pistaciae Filipjev,1850424,Pistacia; Pistacia vera
Gelechia rhombella Denis & Schiff.,,Malus; Malus pumila; Malus sylvestris
Gelechia rhombelliformis Staudinger,1850325,Populus nigra
Gelechia ribesella Chambers,1850312,Ribes; Ribes cereum
Gelechia sabinella Zeller,1850450,Juniperus; Toxicodendron pubescens
Gelechia scotinella Herrich-SchÃ¤ffer,,Prunus spinosa
Gelechia senticetella Staudinger,1850279,Juniperus; Juniperus phoenicea
Gelechia sestertiella Herrich-SchÃ¤ffer,,Acer
Gelechia sororculella Hubner,1850335,Salix
Gelechia stenacma Meyrick,1850371,Anogeissus latifolia
Gelechia teleiodella Omelko,1850327,Quercus mongolica
Gelechia turpella Denis & Schiff.,,Populus; Populus nigra
Gelechia versutella Zeller,1850333,Populus; Populus deltoides; Populus tremuloides; Populus x canadensis
Gladiovalva rumicivorella MilliÃƒÂ¨re,1850666,Rumex scutatus
Glycerophthora clavicularis Meyrick,1850019,Garcinia mangostana
Glyphidocera,,Parthenium hysterophorus
Glyphidocera juniperella Adamski & Brown,9159662,Juniperus horizontalis
Glyphidocera sp.,,Parthenium hysterophorus
Gnorimoschema,,Capsicum annuum; Nicotiana tabacum; Solidago
Gnorimoschema ambrosiaeella Chambers,1851686,Ambrosia trifida; Helianthus giganteus
Gnorimoschema baccharisella Busck,1851670,Baccharis; Baccharis pilularis
Gnorimoschema banksiella Busck,1851747,Corylus; Prunus persica; Solidago
Gnorimoschema busckiella Kearfott,1851676,Aster; Aster patens
Gnorimoschema coquillettella Busck,1851742,Bigelowia; Ericameria pinifolia
Gnorimoschema epithymella Staudinger,1851717,Hyoscyamus; Lycopersicon; Solanum; Solanum melongena; Solanum nigrum; Solanum sisymbriifolium; Solanum tuberosum
Gnorimoschema ericameriae Keifer,1851738,Ericameria ericoides
Gnorimoschema gallaeasterella Kellicott,1851696,Aster; Aster divaricatus; Aster umbellatus; Inula germanica; Psilactis asteroides; Solidago; Solidago caesia; Solidago flexicaulis; Solidago uliginosa uliginosa
Gnorimoschema gallaesolidaginis Riley,1851714,Solidago; Solidago canadensis; Solidago canadensis scabra; Solidago gigantea
Gnorimoschema gibsoniella Busck,1851701,Solidago rigida
Gnorimoschema octomaculella Chambers,1851684,Acamptopappus sphaerocephalus; Ericameria nauseosa
Gnorimoschema salinaris Busck,1851674,Solidago; Solidago sempervirens
Gnorimoschema saphirinella Chambers,1851750,Parthenium hysterophorus
Gnorimoschema septentrionella Fyles,1851720,Aster longifolius
Gnorimoschema sp.,,Baccharis halimifolia; Solanum torvum
Gnorimoschema sp. A,,Solidago simplex
Gnorimoschema sp. B,,Aster; Solidago canadensis
Gnorimoschema spp.,,Nicotiana tabacum
Gnorimoschema subterranea Busck,1851746,Aster; Aster ericoides; Aster ericoides ericoides
Gnorimoschema terracottella Busck,1851732,Iva imbricata
Gnorimoschema washingtoniella Busck,1851728,Ambrosia; Eupatorium
Harpagidia magnetella Staudinger,1847875,Gossypium
Hedma microcasis Meyrick,1847691,Hyoscyamus aureus; Lycium ferocissimum; Rhamnus; Solanum melongena
Helcystogramma,,Eugenia cumini; Oryza sativa
Helcystogramma arotraea Meyrick,1850568,Leersia hexandra; Oryza; Oryza sativa; Sacciolepis; Zizania latifolia
Helcystogramma cerinura Meyrick,1850592,Ipomoea batatas
Helcystogramma chambersella Murtfeldt,1850575,Ambrosia; Ambrosia artemisiifolia; Ambrosia psilostachya; Ambrosia tenuifolia; Parthenium hysterophorus
Helcystogramma convolvuli Walsingham,1850627,Convolvulus arvensis; Ipomoea; Ipomoea aquatica; Ipomoea batatas; Merremia quinquefolia; Solanum tuberosum
Helcystogramma convulvuli Walsingham,,Ipomoea; Ipomoea batatas
Helcystogramma delocosma Meyrick,1850528,Micromelum pubescens
Helcystogramma engrapta Meyrick,1850609,Ipomoea batatas
Helcystogramma fuscomarginatum Ueda,11923686,Oplismenus undulatifolius
Helcystogramma hibisci Stainton,1850633,Abelmoschus; Abelmoschus esculentus; Abelmoschus moschatus; Hibiscus; Hibiscus esculentus; Hibiscus rosa-sinensis
Helcystogramma hystricella Braun,1850597,Elymus hystrix hystrix; Hystrix
Helcystogramma idiastis Meyrick,1850587,Panicum
Helcystogramma lamprostoma Zeller,1850640,Convolvulus; Convolvulus althaeoides; Convolvulus pluricaulis; Ipomoea aquatica
Helcystogramma lutatella Herrich-SchÃ¤ffer,,Agropyron repens; Calamagrostis; Calamagrostis epigejos; Calamagrostis epigejos; Triticum
Helcystogramma macroscopa Meyrick,1850630,Ipomoea batatas
Helcystogramma malacogramma Meyrick,1850621,Oryza
Helcystogramma melantherella Busck,1850585,Arachis hypogaea; Calyptocarpus vialis; Cynara scolymus; Melanthera aspera aspera; Melanthera nivea; Xanthium strumarium; Xanthium strumarium canadense
Helcystogramma melissia Walsingham,1850567,Ipomoea; Ipomoea batatas
Helcystogramma nr. lamprostoma Zeller,,Ipomoea batatas
Helcystogramma nr. malacogramma Meyrick,,Oryza sativa
Helcystogramma nr. musicopa Meyrick,,Eupatorium
Helcystogramma philomusa Meyrick,1850565,Vernonia cinerea
Helcystogramma rufescens Haworth,1850538,Arrhenatherum; Poa
Helcystogramma sp.,,Calamus castaneus
Helcystogramma tegulella Walsingham,1850634,Ipomoea tiliacea; Mikania micrantha
Helcystogramma triannulella Herrich-SchÃ¤ffer,,Calystegia pubescens; Calystegia sepium; Convolvulus arvensis; Ipomoea batatas
Heliangara,,Sonneratia alba
Heliangara macaritis Meyrick,,Jatropha curcas
Holophysis emblemella Clemens,1846351,Aesculus
Holophysis stagmatophoria Walsingham,1846356,Gossypium; Ricinus communis; Sorghum
Hypatima,,Acacia nilotica; Anacardium occidentale; Dimocarpus longan; Sonneratia alba; Tamarix dioica
Hypatima anthotypa Meyrick,1851528,Derris elliptica; Glochidion
Hypatima arignota Meyrick,1851593,Nephelium lappaceum
Hypatima ephippiastis Meyrick,1851508,Tamarindus indica
Hypatima excellentella Ponomarenko,6133381,Quercus mongolica
Hypatima haligramma Meyrick,1851562,Anacardium occidentale; Dendrophthoe glabrescens; Mangifera indica
Hypatima mangiferae Sattler,1851604,Mangifera indica
Hypatima melanocharis Meyrick,1851578,Acacia tomentosa
Hypatima melanoplecta Meyrick,1851568,Anacardium occidentale; Dendrophthoe glabrescens; Mangifera indica
Hypatima nr. tephroplintha Meyrick,,Dimocarpus longan; Lansium domesticum; Mangifera indica
Hypatima phacelota Meyrick,1851510,Mallotus philippensis
Hypatima rhicnota Meyrick,1851565,Dendrophthoe glabrescens; Mangifera indica
Hypatima rhomboidella Linnaeus,1851555,Alnus; Betula; Carpinus betulus; Corylus; Corylus avellana; Populus
Hypatima scopulosa Meyrick,1851509,Eugenia densiflora; Planchonia careya
Hypatima sp.,,Melaleuca quinquenervia
Hypatima sp. 1,,Quercus acutissima; Quercus serrata; Quercus variabilis
Hypatima sp. 2,,Dimocarpus longan; Quercus variabilis
Hypatima sp. 3,,Quercus acutissima; Quercus serrata; Quercus variabilis
Hypatima sp. 4,,Castanea crenata; Quercus variabilis
Hypatima spathota Meyrick,,Lannea coromandelica; Mangifera indica; Melia azedarach; Spondias pinnata
Hypatima stictocosma Meyrick,,Desmodium gangeticum
Hypatima taphronoma Meyrick,,Cajanus cajan
Hypatima tephroplintha Meyrick,,Dimocarpus longan
Hypatima tricosma Meyrick,1851569,Dryobalanops aromatica
Hypatima venefica Ponomarenko,11607774,Quercus mongolica
Hypelictis albiscripta Meyrick,12110781,Salix
Idiophantis,,Eugenia
Idiophantis acanthopa Meyrick,1850864,Eugenia cumini; Syzygium cumini
Idiophantis chiridota Meyrick,1850844,Durio; Eugenia; Eugenia jambos; Eugenia malaccensis
Idiophantis discura Meyrick,1850845,Eugenia cumini; Eugenia polyantha
Idiophantis eugeniae Bradley,1850859,Eugenia
Idiophantis nr. eugeniae Bradley,,Eugenia
Isophrictis anthemidella Wocke,1847566,Anthemis
Isophrictis cerdanica Nel,4528260,Santolina chamaecyparissus
Isophrictis lineatellus Zeller,1847546,Santolina; Santolina chamaecyparissus
Isophrictis rudbeckiella Bottimer,1847555,Rudbeckia
Isophrictis similiella Chambers,1847568,Artemisia; Helianthus; Helianthus annuus; Rudbeckia; Rudbeckia hirta; Solanum carolinense; Solidago
Isophrictis striatella Denis & Schiff.,,Achillea ptarmica; Tanacetum; Tanacetum vulgare
Istrianis,,Quercus
Istrianis crauropa Meyrick,1849036,Butea monosperma
Istrianis squamodorella Amsel,1849023,Populus euphratica
Istrianis steganotricha Meyrick,1849030,Desmodium
Iwaruna biguttella Duponchel,1852195,Bituminaria bituminosa; Medicago sativa
Keiferia colombiana Povolny,1852353,Solanum muricatum; Solanum quitoense; Solanum saponaceum
Keiferia lycopersicella Walsingham,1852347,Capsicum annuum; Gossypium; Lycopersicon; Lycopersicon esculentum; Lycopersicon hirsutum; Nicotiana; Solanum americanum; Solanum melongena; Solanum nigrum; Solanum torvum; Solanum tuberosum; Solanum umbelliferum; Solanum xanti
Kertomesis anaphracta Meyrick,1845738,Shorea robusta
Laris argobathra Meyrick,,Quercus cerris
Macrenches clerica Rosenstock,1850764,Acacia
Megacraspedus calamogonus Meyrick,,Chionochloa; Stipa conspicuum
Megacraspedus dolosellus Zeller,,Avena sativa
Megacraspedus peyerimhoffi le Cerf,,Stipa tenacissima
Megalocypha melongenae Povolny & Brad.,,Solanum melongena
Megalocypha microcasis Meyrick,,Solanum melongena
Merimnetria compsodelta Meyrick,1847900,Hedyotis acuminata
Merimnetria elegantior Walsingham,1847893,Gouldia macrocarpa; Hedyotis terminalis
Merimnetria flaviterminella Walsingham,1847905,Hedyotis
Merimnetria gratula Meyrick,1847902,Psychotria kaduana
Merimnetria homoxyla Meyrick,1847906,Gouldia coriacea; Hedyotis terminalis
Merimnetria ichthyochroa Walsingham,1847895,Gouldia macrocarpa
Merimnetria mendax Walsingham,1847897,Gouldia
Merimnetria multiformis Meyrick,1847903,Gouldia coriacea; Hedyotis terminalis
Merimnetria nigriciliella Walsingham,1847908,Gouldia macrocarpa
Merimnetria straussiella Swezey,1847904,Psychotria kaduana; Psychotria mariniana
Merimnetria thurifica Meyrick,1847909,Hedyotis acuminata
Merimnetria xylospila Meyrick,,Gouldia coriacea; Hedyotis terminalis
Mesophleps,,Acacia cowleana; Acacia farnesiana; Acacia tortilis; Cajanus cajan
Mesophleps corsicella Herrich-SchÃ¤ffer,,Cistus; Helianthemum
Mesophleps crocina Meyrick,1850828,Acacia
Mesophleps epiochra Meyrick,1850830,Cassia; Crotalaria; Crotalaria pallida obovata; Paraserianthes falcataria; Sophora tomentosa; Vigna unguiculata
Mesophleps oxycedrella MilliÃƒÂ¨re,1850822,Juniperus; Juniperus excelsa; Juniperus oxycedrus
Mesophleps palpigera Walsingham,1850810,Albizia; Bauhinia; Cajanus; Cajanus cajan; Cassia; Coffea; Coffea arabica; Coffea excelsa; Coffea liberica; Crotalaria; Crotalaria saltiana; Glycine; Glycine max; Indigofera; Lablab purpureus; Leucaena; Senna corymbosa; Senna obtusifolia; Shorea robusta; Sophora tomentosa; Tephrosia; Tephrosia candida; Tephrosia hookeriana; Tephrosia toxicaria
Mesophleps silacella Hubner,1850827,Helianthemum nummularium; Tuberaria lignosa
Mesophleps trinotella Herrich-SchÃ¤ffer,,Erysimum cheiri
Meteoristis religiosa Meyrick,1847981,Ficus benghalensis; Ficus religiosa
Metzneria aestivella Zeller,1848847,Carlina
Metzneria aprilella Herrich-SchÃ¤ffer,,Centaurea scabiosa
Metzneria carlinella Stainton,1848904,Carlina vulgaris
Metzneria dichroa Walsingham,1848898,Carlina salicifolia
Metzneria eatoni Walsingham,1848883,Atractylis; Carthamus; Onopordum
Metzneria lappella Linnaeus,1848864,Arctium; Arctium lappa; Arctium minus; Arctium tomentosum
Metzneria littorella Douglas,1848911,Plantago coronopus
Metzneria metzneriella Stainton,1848868,Centaurea nigra; Serratula tinctoria
Metzneria monochroa Walsingham,1848908,Cynara cardunculus
Metzneria neuropterella Zeller,1848892,Centaurea; Cirsium acaule
Metzneria paucipunctella Zeller,1848861,Anthemis tinctoria; Centaurea biebersteinii; Centaurea stoebe; Staehelina
Metzneria talassica Piskunov,1848869,Juniperus seravschanica
Metzneria tenuiella Mann,1848858,Asteriscus maritimus
Mirificarma cabezella ChrÃ©tien,,Adenocarpus hispanicus
Mirificarma cytisella Treitschke,1852139,Calicotome spinosa; Calycotome; Cytisus nigricans; Genista; Laburnum anagyroides; Ononis spinosa
Mirificarma denotata Pitkin,1852141,Erophaca baetica
Mirificarma eburnella Denis & Schiff.,,Hippocrepis comosa; Medicago lupulina; Medicago polymorpha; Medicago sativa; Trifolium; Trifolium hirtum; Trifolium repens; Vicia americana
Mirificarma flavella Duponchel,1852157,Lotus corniculatus; Trifolium campestre (); Trifolium dubium ; Trifolium pratense
Mirificarma interrupta Haworth,1852159,Cytisus balansae; Cytisus scoparius; Genista germanica; Genista pilosa; Genista sagittalis; Genista tinctoria
Mirificarma lentiginosella Zeller,1852136,Genista anglica; Genista germanica; Genista sagittalis; Genista tinctoria; Laburnum anagyroides
Mirificarma maculatella Hubner,1852147,Coronilla emerus; Coronilla varia
Mirificarma mulinella Zeller,1852150,Calicotome spinosa; Cytisus; Cytisus nigricans; Cytisus scoparius; Genista germanica; Genista tinctoria; Lupinus; Lupinus arboreus; Ulex; Ulex europaeus
